,sentence,correct,error_type,tags,tags_trigram,poss,poss_trigram,en,es,model_result,has_detected_error,has_detected_correct
23,Who killed to Kennedy?,False,UT,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,-2.6850038118252697,-2.7065864419548795,False,False,False
24,Who Kennedy killed?,False,W,WP NNP VBD . ,WP NNP VBD,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-1.3134162258125093,-1.4418554679352438,False,False,False
25,Did they went?,False,TV,VBD PRP VBD . ,VBD PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
26,Do they went?,False,TV,VBP PRP VBD . ,VBP PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
27,Do she goes?,False,AGV,VBP PRP VBZ . ,VBP PRP VBZ,VERB PRON VERB PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
28,Does she goes?,False,AGV,VBZ PRP VBZ . ,VBZ . _,VERB PRON VERB PUNCT ,VERB PUNCT _,-0.9887522832906496,-1.0612315097182343,False,False,False
29,"They're coming tomorrow, no?",False,_,"PRP VBP VBG NN , UH . ",UH . _,PRON VERB VERB NOUN PUNCT INTJ PUNCT ,INTJ PUNCT _,-2.206770100358181,-1.5950852878220156,True,False,False
30,"You have a car, no?",False,_,"PRP VBP DT NN , UH . ",", UH .",PRON VERB DET NOUN PUNCT INTJ PUNCT ,PUNCT INTJ PUNCT,-0.4823264965941845,-0.4195325084001825,True,False,False
31,Peter not found the key.,False,X,NNP RB VBD DT NN . ,RB VBD DT,PROPN ADV VERB DET NOUN PUNCT ,ADV VERB DET,-1.3872054934315945,-1.2957640597090567,True,False,False
32,Peter not has found the key.,False,X,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,PROPN ADV VERB VERB DET NOUN PUNCT ,ADV VERB VERB,-2.0384591483532875,-2.6550688448821784,False,False,False
33,Those no.,False,X,DT UH . ,DT UH .,DET INTJ PUNCT ,DET INTJ PUNCT,-1.0490016754966216,-0.09554949510541856,True,False,False
34,Green no.,False,X,NNP NN . ,NNP NN .,PROPN NOUN PUNCT ,PROPN NOUN PUNCT,-1.0488663073783022,-1.6838392941084952,False,False,False
35,Here no.,False,X,RB UH . ,RB UH .,ADV INTJ PUNCT ,ADV INTJ PUNCT,-2.374877687695192,-0.07883448893138716,True,False,False
36,Maria cans cook.,False,AGV,NNP NNS VBP . ,NNS VBP .,PROPN NOUN VERB PUNCT ,NOUN VERB PUNCT,-3.13756891299203,-3.184694338671942,False,False,False
37,Do you can swim?,False,UV,VBP PRP MD VB . ,VBP PRP MD,VERB PRON VERB VERB PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
38,They will can do it next week.,False,UV,PRP MD MD VB PRP JJ NN . ,MD MD VB,PRON VERB VERB VERB PRON ADJ NOUN PUNCT ,VERB VERB VERB,-1.9369090956071608,-4.934864071458165,False,False,False
39,She went up the stairs.,True,_,PRP VBD RP DT NNS . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,-2.705333410888279,-5.541543380524911,True,False,False
40,She went up the book.,False,MT,PRP VBD RP DT NN . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,-2.705333410888279,-5.541543380524911,False,False,False
41,They were waiting.,True,_,PRP VBD VBG . ,PRP VBD VBG,PRON VERB VERB PUNCT ,PRON VERB VERB,-1.0831902685458228,-2.4475358153288065,True,False,False
42,Mary laughed.,True,_,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.1724695612108085,-3.331472257049941,True,False,False
43,What did she laugh?,False,MT,WP VBD PRP VB . ,VB . _,PRON VERB PRON VERB PUNCT ,VERB PUNCT _,-0.9887522832906496,-1.0612315097182343,False,False,False
44,Football likes me.,False,_,NN VBZ PRP . ,NN VBZ PRP,NOUN VERB PRON PUNCT ,NOUN VERB PRON,-3.9154980686424885,-4.378659246849329,False,False,False
45,"Do you want to go? No, I don't want.",False,MT,"VBP PRP VB TO VB . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PART VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,-0.9887522832906496,-1.0612315097182343,False,False,False
46,I like to get up early; I'm used.,False,MA,PRP VBP TO VB RP RB : PRP VBP VBN . ,VBN . _,PRON VERB PART VERB PART ADV PUNCT PRON VERB VERB PUNCT ,VERB PUNCT _,-0.9887522832906496,-1.0612315097182343,False,False,False
47,"Are they coming? No, I don't think.",False,MA,"VBP PRP VBG . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,-0.9887522832906496,-1.0612315097182343,False,False,False
48,Look! It rains!,False,TV,VB . PRP VBZ . ,PRP VBZ .,VERB PUNCT PRON VERB PUNCT ,PRON VERB PUNCT,-2.4841365148308343,-2.2486199253306247,True,False,False
49,I wait for you at home.,False,MV,PRP VBP IN PRP IN NN . ,VBP IN PRP,PRON VERB ADP PRON ADP NOUN PUNCT ,VERB ADP PRON,-2.42438962419138,-2.9032648851741616,False,False,False
50,I see her this evening.,False,MV,PRP VBP PRP DT NN . ,VBP PRP DT,PRON VERB PRON DET NOUN PUNCT ,VERB PRON DET,-2.6806328107749517,-2.9009218181287477,False,False,False
51,How long are you working in your present job?,False,TV,WRB RB VBP PRP VBG IN PRP$ JJ NN . ,VBP PRP VBG,ADV ADV VERB PRON VERB ADP DET ADJ NOUN PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
52,It's a long time that I live here.,False,TV,PRP VBZ DT JJ NN WDT PRP VBP RB . ,VBP RB .,PRON VERB DET ADJ NOUN DET PRON VERB ADV PUNCT ,VERB ADV PUNCT,-2.768089779434056,-2.20703937191428,True,False,False
53,When has she received the letter?,False,TV,WRB VBZ PRP VBD DT NN . ,VBZ PRP VBD,ADV VERB PRON VERB DET NOUN PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
54,Today I've finished work early because I've started at seven o'clock this morning.,False,UV,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . ,VB VBN NN,NOUN PRON VERB VERB NOUN ADV ADP PRON VERB VERB ADP NUM NOUN DET NOUN PUNCT ,VERB VERB NOUN,-2.843060182555995,-2.836787870755668,True,False,False
55,"When we were young, we were playing a lot of tennis.",False,TV,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . ",VBD VBG DT,ADV PRON VERB ADJ PUNCT PRON VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,-1.8899138390318648,-0.9481113984698174,True,False,False
56,"When I was a teenager, I was having a motorbike.",False,TV,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . ",VBD VBG DT,ADV PRON VERB DET NOUN PUNCT PRON VERB VERB DET NOUN PUNCT ,VERB VERB DET,-1.8899138390318648,-0.9481113984698174,True,False,False
57,She wasn't knowing that he had died.,False,TV,PRP VBD RB VBG IN PRP VBD VBN . ,VBD RB VBG,PRON VERB ADV VERB ADP PRON VERB VERB PUNCT ,VERB ADV VERB,-0.94550727374058,-3.5796767898236204,False,False,False
58,Come you tomorrow!,False,UA,VB PRP NN . ,PRP NN .,VERB PRON NOUN PUNCT ,PRON NOUN PUNCT,-1.494219964103854,-1.7097755575527398,False,False,False
59,"When Mary will get here, tell her to come in.",False,TV,"WRB NNP MD VB RB , VB PRP TO VB RP . ",MD VB RB,ADV PROPN VERB VERB ADV PUNCT VERB PRON PART VERB PART PUNCT ,VERB VERB ADV,-2.517312158933392,-2.624103265068773,False,False,False
60,I use to do a lot of exercise.,False,TV,PRP VBP TO VB DT NN IN NN . ,VBP TO VB,PRON VERB PART VERB DET NOUN ADP NOUN PUNCT ,VERB PART VERB,-0.3448033750053023,-8.122961363660268,False,False,False
61,The house built itself before the war.,False,MV,DT NN VBD PRP IN DT NN . ,VBD PRP IN,DET NOUN VERB PRON ADP DET NOUN PUNCT ,VERB PRON ADP,-1.7028079239317562,-1.320015796240858,True,False,False
62,They were given bikes for Christmas.,True,_,PRP VBD VBN NNS IN NNP . ,PRP VBD VBN,PRON VERB VERB NOUN ADP PROPN PUNCT ,PRON VERB VERB,-1.0831902685458228,-2.4475358153288065,True,False,False
63,Polly was owed a lot of money.,True,_,NNP VBD VBN DT NN IN NN . ,VBD VBN DT,PROPN VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,-1.8899138390318648,-0.9481113984698174,False,False,False
64,To smoke is bad for you.,False,FV,TO VB VBZ JJ IN PRP . ,TO VB VBZ,PART VERB VERB ADJ ADP PRON PUNCT ,PART VERB VERB,-2.07307958944352,-10.513033074781648,False,False,False
65,It's difficult learn English.,False,FV,PRP VBZ JJ VBP NNP . ,VBP NNP .,PRON VERB ADJ VERB PROPN PUNCT ,VERB PROPN PUNCT,-2.116314536919337,-1.0272743080247009,True,False,False
66,Let us to see.,False,FV,VB PRP TO VB . ,TO VB .,VERB PRON PART VERB PUNCT ,PART VERB PUNCT,-2.4009238167795908,-10.513033074781648,False,False,False
67,The food is more important than the art.,False,UD,DT NN VBZ RBR JJ IN DT NN . ,DT NN .,DET NOUN VERB ADV ADJ ADP DET NOUN PUNCT ,DET NOUN PUNCT,-1.5713045108735524,-1.6159133858705308,False,False,False
68,Do you like the big dogs?,False,UD,VBP PRP VB DT JJ NNS . ,DT JJ NNS,VERB PRON VERB DET ADJ NOUN PUNCT ,DET ADJ NOUN,-0.29338506491932875,-0.3081398636068358,False,False,False
69,"That is the yours, and this is the mine.",False,UD,"DT VBZ DT NNS , CC DT VBZ DT NN . ",DT NN .,DET VERB DET NOUN PUNCT CCONJ DET VERB DET NOUN PUNCT ,DET NOUN PUNCT,-1.5713045108735524,-1.6159133858705308,False,False,False
70,Do you have car?,False,MD,VBP PRP VB NN . ,VB NN .,VERB PRON VERB NOUN PUNCT ,VERB NOUN PUNCT,-1.5931750150548143,-2.212445598972449,False,False,False
71,Her sister is dentist.,False,MD,PRP$ NN VBZ NN . ,NN . _,DET NOUN VERB NOUN PUNCT ,NOUN PUNCT _,-0.8513191647029508,-0.981637352530198,False,False,False
72,I have ones nice American friends.,False,RQ,PRP VBP NNS JJ JJ NNS . ,NNS JJ JJ,PRON VERB NOUN ADJ ADJ NOUN PUNCT ,NOUN ADJ ADJ,-4.0036417388613765,-2.619543047939876,True,False,False
73,The table is dirty.,True,_,DT NN VBZ JJ . ,NN VBZ JJ,DET NOUN VERB ADJ PUNCT ,NOUN VERB ADJ,-2.7410161028841418,-3.020081050008765,True,False,False
74,"Clean her, please.",False,RA,"VB PRP , UH . ","VB PRP ,",VERB PRON PUNCT INTJ PUNCT ,VERB PRON PUNCT,-2.099179287663389,-1.8762015671565333,True,False,False
75,"They showed me two models, and I bought the small.",False,M,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . ",JJ . _,PRON VERB PRON NUM NOUN PUNCT CCONJ PRON VERB DET ADJ PUNCT ,ADJ PUNCT _,-1.1043413593323734,-0.7610022767099681,True,False,False
76,I am more old than my sister.,False,IJ,PRP VBP RBR JJ IN PRP$ NN . ,RBR JJ IN,PRON VERB ADV ADJ ADP DET NOUN PUNCT ,ADV ADJ ADP,-1.3803228472046811,-1.2321406168173374,True,False,False
77,Barcelona is the more large city of Catalonia.,False,IJ,NNP VBZ DT RBR JJ NN IN NNP . ,RBR JJ NN,PROPN VERB DET ADV ADJ NOUN ADP PROPN PUNCT ,ADV ADJ NOUN,-1.166522259441765,-3.1335682718892275,False,False,False
78,Rosa isn't French. Is Spanish.,False,MA,NNP VBZ RB NNP . VBZ JJ . ,VBZ JJ .,PROPN VERB ADV PROPN PUNCT VERB ADJ PUNCT ,VERB ADJ PUNCT,-2.090825414842433,-1.935140745301723,True,False,False
79,Have gone home because wanted to go to bed.,False,MA,VBP VBN RB IN VBD TO VB IN NN . ,VBP VBN RB,VERB VERB ADV ADP VERB PART VERB ADP NOUN PUNCT ,VERB VERB ADV,-2.517312158933392,-2.624103265068773,False,False,False
80,Was raining.,False,MA,VBD VBG . ,VBD VBG .,VERB VERB PUNCT ,VERB VERB PUNCT,-2.245966599352313,-2.800723059735944,False,False,False
81,That's the man who he lives next door to us.,False,UA,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . ,IN PRP .,DET VERB DET NOUN PRON PRON VERB ADJ NOUN ADP PRON PUNCT ,ADP PRON PUNCT,-2.205760233843661,-1.2330349903474205,True,False,False
82,I saw she.,False,RA,PRP VBD PRP . ,VBD PRP .,PRON VERB PRON PUNCT ,VERB PRON PUNCT,-2.099179287663389,-1.8762015671565333,True,False,False
83,They know we.,False,RA,PRP VBP PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,-0.8639381090713039,-1.3241950705011625,False,False,False
84,How many cakes is it in the cupboard?,False,AGV,WRB JJ NNS VBZ PRP IN DT NN . ,PRP IN DT,ADV ADJ NOUN VERB PRON ADP DET NOUN PUNCT ,PRON ADP DET,-0.6933757264560211,-0.5137307570110079,True,False,False
85,Who is it? Am I.,False,RA,WP VBZ PRP . VBP NN . ,VBP NN .,PRON VERB PRON PUNCT VERB NOUN PUNCT,VERB NOUN PUNCT,-1.5931750150548143,-2.212445598972449,False,False,False
86,They enjoyed very much.,False,MA,PRP VBD RB RB . ,RB RB .,PRON VERB ADV ADV PUNCT ,ADV ADV PUNCT,-1.6745082193052971,-1.8734891888030123,False,False,False
87,She complained herself.,False,UA,PRP VBD PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,-0.8639381090713039,-1.3241950705011625,False,False,False
88,I showered me and went out.,False,UA,PRP VBD PRP CC VBD RP . ,PRP CC VBD,PRON VERB PRON CCONJ VERB PART PUNCT ,PRON CCONJ VERB,-1.5708527921480897,-2.28298649059005,False,False,False
89,Bill cut himself the finger.,False,RA,NNP VBD PRP DT NN . ,PRP DT NN,PROPN VERB PRON DET NOUN PUNCT ,PRON DET NOUN,-1.0332885580882634,-0.6431686928670399,True,False,False
90,Sara and Joe had both got his shoes wet.,False,RA,NNP CC NNP VBD DT VBN PRP$ NNS JJ . ,PRP$ NNS JJ,PROPN CCONJ PROPN VERB DET VERB DET NOUN ADJ PUNCT ,DET NOUN ADJ,-3.3511541222613914,-1.3537475180708167,True,False,False
91,The my cousin is in Portugal.,False,UD,DT PRP$ NN VBZ IN NNP . ,DT PRP$ NN,DET DET NOUN VERB ADP PROPN PUNCT ,DET DET NOUN,-0.7861328533719928,-0.23165760119719594,True,False,False
92,The girls we saw looked quite happy.,True,_,DT NNS PRP VBD VBD RB JJ . ,NNS PRP VBD,DET NOUN PRON VERB VERB ADV ADJ PUNCT ,NOUN PRON VERB,-0.17821672028987606,-0.8120715048171268,True,False,False
93,Did you like the woman we spoke to?,True,_,VBD PRP VB DT NN PRP VBD IN . ,VBD IN .,VERB PRON VERB DET NOUN PRON VERB ADP PUNCT ,VERB ADP PUNCT,-3.443689472197512,-3.895692863366407,True,False,False
94,We are going to have the house painted.,True,_,PRP VBP VBG TO VB DT NN VBN . ,TO VB DT,PRON VERB VERB PART VERB DET NOUN VERB PUNCT ,PART VERB DET,-1.0355951855575354,-10.513033074781648,True,False,False
95,We are going to make paint the house.,False,MT,PRP VBP VBG TO VB NN DT NN . ,TO VB NN,PRON VERB VERB PART VERB NOUN DET NOUN PUNCT ,PART VERB NOUN,-1.929460070372192,-0.926191554157378,True,False,False
96,They refused helping their neighbours.,False,FV,PRP VBD VBG PRP$ NNS . ,VBG PRP$ NNS,PRON VERB VERB DET NOUN PUNCT ,VERB DET NOUN,-0.6462311721530399,-0.24925565583824386,True,False,False
97,I'll never forget to see that accident.,False,FV,PRP MD RB VB TO VB DT NN . ,TO VB DT,PRON AUX ADV VERB PART VERB DET NOUN PUNCT ,PART VERB DET,-1.0355951855575354,-10.513033074781648,False,False,False
98,She explained me the problem.,False,MT,PRP VBD PRP DT NN . ,PRP DT NN,PRON VERB PRON DET NOUN PUNCT ,PRON DET NOUN,-1.0332885580882634,-0.6431686928670399,True,False,False
99,They suggested Jim to take the job.,False,W,PRP VBD NNP TO VB DT NN . ,NNP TO VB,PRON VERB PROPN PART VERB DET NOUN PUNCT ,PROPN PART VERB,-1.2164964576352264,-5.327513036312348,False,False,False
100,I am asking that they go.,False,W,PRP VBP VBG IN PRP VBP . ,IN PRP VBP,PRON VERB VERB ADP PRON VERB PUNCT ,ADP PRON VERB,-0.4453579716932252,-2.2483170997652184,False,False,False
101,They ordered her that she should go.,False,W,PRP VBD PRP IN PRP MD VB . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB VERB PUNCT ,PRON ADP PRON,-2.45383938758274,-2.424871813292284,True,False,False
102,They ordered her that she went.,False,W,PRP VBD PRP IN PRP VBD . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB PUNCT ,PRON ADP PRON,-2.45383938758274,-2.424871813292284,True,False,False
103,I want that you don't go.,False,X,PRP VBP IN PRP VBP RB VB . ,IN PRP VBP,PRON VERB ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,-0.4453579716932252,-2.2483170997652184,False,False,False
104,I want that you not go.,False,X,PRP VBP IN PRP RB VBP . ,IN PRP RB,PRON VERB ADP PRON ADV VERB PUNCT ,ADP PRON ADV,-3.1319468775392583,-3.0770662247926333,True,False,False
105,The captain ordered the soldiers that they didn't retreat.,False,X,DT NN VBD DT NNS IN PRP VBD RB VB . ,IN PRP VBD,DET NOUN VERB DET NOUN ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,-0.4453579716932252,-2.2483170997652184,False,False,False
106,I don't know where does Mary live.,False,UV,PRP VBP RB VB WRB VBZ NNP VB . ,VBZ NNP VB,PRON VERB ADV VERB ADV VERB PROPN VERB PUNCT ,VERB PROPN VERB,-3.2137176693609826,-3.653739541593247,False,False,False
107,They asked me how much did I earn.,False,UV,PRP VBD PRP WRB JJ VBD PRP VB . ,VBD PRP VB,PRON VERB PRON ADV ADJ VERB PRON VERB PUNCT ,VERB PRON VERB,-1.3814941613465863,-2.4705243899575566,False,False,False
108,They took to their mother to the hospital.,False,UT,PRP VBD IN PRP$ NN IN DT NN . ,IN PRP$ NN,PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,ADP DET NOUN,-0.7168599778730812,-0.3678122897486696,True,False,False
109,For what have you come?,False,W,IN WP VBP PRP VB . ,IN WP VBP,ADP PRON VERB PRON VERB PUNCT ,ADP PRON VERB,-0.4453579716932252,-2.2483170997652184,False,False,False
110,I don't know who they're working for.,True,_,PRP VBP RB VB WP PRP VBP VBG IN . ,VBG IN .,PRON VERB ADV VERB PRON PRON VERB VERB ADP PUNCT ,VERB ADP PUNCT,-3.443689472197512,-3.895692863366407,True,False,False
111,Who does Fred sit next to?,True,_,WP VBZ NNP VB RB IN . ,RB IN .,PRON VERB PROPN VERB ADV ADP PUNCT ,ADV ADP PUNCT,-4.211199845385479,-4.328057535023377,True,False,False
112,"After to see the film, we went for a meal.",False,FV,"IN TO VB DT NN , PRP VBD IN DT NN . ",TO VB DT,ADP PART VERB DET NOUN PUNCT PRON VERB ADP DET NOUN PUNCT ,PART VERB DET,-1.0355951855575354,-10.513033074781648,False,False,False
113,I've got two news for you.,False,CN,PRP VB VBN CD NN IN PRP . ,CD NN IN,PRON VERB VERB NUM NOUN ADP PRON PUNCT ,NUM NOUN ADP,-1.1754583869048645,-1.045311014125268,True,False,False
