,sentence,correct,error_type,penn,penn_trigram,ud,ud_trigram,Negative transfer?,es,en,nlt,result
23,Who killed to Kennedy?,False,UT,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,True,-1.9221536880462915,-2.4533532589986358,True,True
24,Who Kennedy killed?,False,W,WP NNP VBD . ,WP NNP VBD,PRON PROPN VERB PUNCT ,PRON PROPN VERB,True,-3.318597826099219,-3.0455317152225976,False,False
25,Did they went?,False,TV,VBD PRP VBD . ,VBD PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,True,-2.8907579851594085,-2.818950000495484,False,False
26,Do they went?,False,TV,VBP PRP VBD . ,VBP PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,True,-4.40707678719752,-4.242488593956196,False,False
27,Do she goes?,False,AGV,VBP PRP VBZ . ,VBP PRP VBZ,VERB PRON VERB PUNCT ,VERB PRON VERB,True,-2.1328269187054283,-2.2419341188701627,True,True
28,Does she goes?,False,AGV,VBZ PRP VBZ . ,VBZ . _,VERB PRON VERB PUNCT ,VERB PUNCT _,True,-0.07973263020609145,-0.06807886362559097,False,False
29,"They're coming tomorrow, no?",False,_,"PRP VBP VBG NN , UH . ",UH . _,PRON VERB VERB NOUN PUNCT INTJ PUNCT ,INTJ PUNCT _,True,-0.384865469702997,-0.12958598344278865,False,False
30,"You have a car, no?",False,_,"PRP VBP DT NN , UH . ",", UH .",PRON VERB DET NOUN PUNCT INTJ PUNCT ,PUNCT INTJ PUNCT,True,-2.3391384384791194,-2.751136149970219,True,True
31,Peter not found the key.,False,X,NNP RB VBD DT NN . ,RB VBD DT,PROPN ADV VERB DET NOUN PUNCT ,ADV VERB DET,True,-1.665288833911566,-1.4493866409111815,False,False
32,Peter not has found the key.,False,X,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,PROPN ADV VERB VERB DET NOUN PUNCT ,ADV VERB VERB,True,-2.111953857317731,-3.8497800158919335,True,True
33,Those no.,False,X,DT UH . ,DT UH .,DET INTJ PUNCT ,DET INTJ PUNCT,True,-0.3924829894767338,-3.0328426265715422,True,True
34,Green no.,False,X,NNP NN . ,NNP NN .,PROPN NOUN PUNCT ,PROPN NOUN PUNCT,True,-2.2071011207615667,-1.8050164970116649,False,False
35,Here no.,False,X,RB UH . ,RB UH .,ADV INTJ PUNCT ,ADV INTJ PUNCT,True,-0.03938977483684592,-4.133953920945614,True,True
36,Maria cans cook.,False,AGV,NNP NNS VBP . ,NNS VBP .,PROPN NOUN VERB PUNCT ,NOUN VERB PUNCT,True,-4.938492913429885,-4.1689042263122165,False,False
37,Do you can swim?,False,UV,VBP PRP MD VB . ,VBP PRP MD,VERB PRON VERB VERB PUNCT ,VERB PRON VERB,True,-3.4344755531120037,-2.1917709062099378,False,False
38,They will can do it next week.,False,UV,PRP MD MD VB PRP JJ NN . ,MD MD VB,PRON VERB VERB VERB PRON ADJ NOUN PUNCT ,VERB VERB VERB,True,-11.877569477090649,-0.1990965959746636,False,False
39,She went up the stairs.,True,_,PRP VBD RP DT NNS . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,False,-11.892951095888893,-1.3024239369742556,False,True
40,She went up the book.,False,MT,PRP VBD RP DT NN . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,True,-11.892951095888893,-1.3024239369742556,False,False
41,They were waiting.,True,_,PRP VBD VBG . ,PRP VBD VBG,PRON VERB VERB PUNCT ,PRON VERB VERB,False,-4.394556890066814,-3.5943189103786164,False,True
42,Mary laughed.,True,_,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,False,-5.518581463621182,-3.907888289685737,False,True
43,What did she laugh?,False,MT,WP VBD PRP VB . ,VB . _,PRON VERB PRON VERB PUNCT ,VERB PUNCT _,True,-0.05802034107318271,-0.05955177880419003,True,True
44,Football likes me.,False,_,NN VBZ PRP . ,NN VBZ PRP,NOUN VERB PRON PUNCT ,NOUN VERB PRON,True,-6.227604460897945,-4.4286855181005516,False,False
45,"Do you want to go? No, I don't want.",False,MT,"VBP PRP VB TO VB . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PART VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,True,-0.05802034107318271,-0.05955177880419003,True,True
46,I like to get up early; I'm used.,False,MA,PRP VBP TO VB RP RB : PRP VBP VBN . ,VBN . _,PRON VERB PART VERB PART ADV PUNCT PRON VERB VERB PUNCT ,VERB PUNCT _,True,-0.0558949034501783,-0.05675180828665626,True,True
47,"Are they coming? No, I don't think.",False,MA,"VBP PRP VBG . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,True,-0.05802034107318271,-0.05955177880419003,True,True
48,Look! It rains!,False,TV,VB . PRP VBZ . ,PRP VBZ .,VERB PUNCT PRON VERB PUNCT ,PRON VERB PUNCT,True,-3.301614332143988,-4.3630486520380245,True,True
49,I wait for you at home.,False,MV,PRP VBP IN PRP IN NN . ,VBP IN PRP,PRON VERB ADP PRON ADP NOUN PUNCT ,VERB ADP PRON,True,-2.9543323204302037,-1.984558937503924,False,False
50,I see her this evening.,False,MV,PRP VBP PRP DT NN . ,VBP PRP DT,PRON VERB PRON DET NOUN PUNCT ,VERB PRON DET,True,-1.6848813068308588,-3.56949438072573,True,True
51,How long are you working in your present job?,False,TV,WRB RB VBP PRP VBG IN PRP$ JJ NN . ,VBP PRP VBG,ADV ADV VERB PRON VERB ADP DET ADJ NOUN PUNCT ,VERB PRON VERB,True,-6.439322027953288,-3.4352657094531707,False,False
52,It's a long time that I live here.,False,TV,PRP VBZ DT JJ NN WDT PRP VBP RB . ,VBP RB .,PRON VERB DET ADJ NOUN DET PRON VERB ADV PUNCT ,VERB ADV PUNCT,True,-3.274603369214021,-4.187455806610338,True,True
53,When has she received the letter?,False,TV,WRB VBZ PRP VBD DT NN . ,VBZ PRP VBD,ADV VERB PRON VERB DET NOUN PUNCT ,VERB PRON VERB,True,-5.0407672040486755,-5.215706032648484,True,True
54,Today I've finished work early because I've started at seven o'clock this morning.,False,UV,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . ,VB VBN NN,NOUN PRON VERB VERB NOUN ADV ADP PRON VERB VERB ADP NUM NOUN DET NOUN PUNCT ,VERB VERB NOUN,True,-4.056991482817273,-4.091061094406949,True,True
55,"When we were young, we were playing a lot of tennis.",False,TV,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . ",VBD VBG DT,ADV PRON VERB ADJ PUNCT PRON VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,True,-1.4255830591731908,-1.880005250997016,True,True
56,"When I was a teenager, I was having a motorbike.",False,TV,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . ",VBD VBG DT,ADV PRON VERB DET NOUN PUNCT PRON VERB VERB DET NOUN PUNCT ,VERB VERB DET,True,-1.4255830591731908,-1.880005250997016,True,True
57,She wasn't knowing that he had died.,False,TV,PRP VBD RB VBG IN PRP VBD VBN . ,VBD RB VBG,PRON VERB ADV VERB ADP PRON VERB VERB PUNCT ,VERB ADV VERB,True,-5.392074928031157,-3.64262445559547,False,False
58,Come you tomorrow!,False,UA,VB PRP NN . ,PRP NN .,VERB PRON NOUN PUNCT ,PRON NOUN PUNCT,True,-2.372044147451933,-1.6634815914385148,False,False
59,"When Mary will get here, tell her to come in.",False,TV,"WRB NNP MD VB RB , VB PRP TO VB RP . ",MD VB RB,ADV PROPN VERB VERB ADV PUNCT VERB PRON PART VERB PART PUNCT ,VERB VERB ADV,True,-2.1727736541342004,-2.61002417589392,True,True
60,I use to do a lot of exercise.,False,TV,PRP VBP TO VB DT NN IN NN . ,VBP TO VB,PRON VERB PART VERB DET NOUN ADP NOUN PUNCT ,VERB PART VERB,True,-0.03376883989295226,-0.03854948148069643,True,True
61,The house built itself before the war.,False,MV,DT NN VBD PRP IN DT NN . ,VBD PRP IN,DET NOUN VERB PRON ADP DET NOUN PUNCT ,VERB PRON ADP,True,-1.4372332788244242,-1.3597548927139766,False,False
62,They were given bikes for Christmas.,True,_,PRP VBD VBN NNS IN NNP . ,PRP VBD VBN,PRON VERB VERB NOUN ADP PROPN PUNCT ,PRON VERB VERB,False,-2.575667799823716,-2.4939329740983798,False,True
63,Polly was owed a lot of money.,True,_,NNP VBD VBN DT NN IN NN . ,VBD VBN DT,PROPN VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,False,-1.89940520620176,-3.0131480612091948,True,False
64,To smoke is bad for you.,False,FV,TO VB VBZ JJ IN PRP . ,TO VB VBZ,PART VERB VERB ADJ ADP PRON PUNCT ,PART VERB VERB,True,-3.1849451005724965,-3.4170635507187765,True,True
65,It's difficult learn English.,False,FV,PRP VBZ JJ VBP NNP . ,VBP NNP .,PRON VERB ADJ VERB PROPN PUNCT ,VERB PROPN PUNCT,True,-2.667847215777265,-3.899283250680144,True,True
66,Let us to see.,False,FV,VB PRP TO VB . ,TO VB .,VERB PRON PART VERB PUNCT ,PART VERB PUNCT,True,-2.819523508982045,-2.9869807527538437,True,True
67,The food is more important than the art.,False,UD,DT NN VBZ RBR JJ IN DT NN . ,DT NN .,DET NOUN VERB ADV ADJ ADP DET NOUN PUNCT ,DET NOUN PUNCT,True,-2.559100990398349,-2.4377755956886595,False,False
68,Do you like the big dogs?,False,UD,VBP PRP VB DT JJ NNS . ,DT JJ NNS,VERB PRON VERB DET ADJ NOUN PUNCT ,DET ADJ NOUN,True,-1.7317255117475918,-1.8702120771901816,True,True
69,"That is the yours, and this is the mine.",False,UD,"DT VBZ DT NNS , CC DT VBZ DT NN . ",DT NN .,DET VERB DET NOUN PUNCT CCONJ DET VERB DET NOUN PUNCT ,DET NOUN PUNCT,True,-2.559100990398349,-2.4377755956886595,False,False
70,Do you have car?,False,MD,VBP PRP VB NN . ,VB NN .,VERB PRON VERB NOUN PUNCT ,VERB NOUN PUNCT,True,-2.8377117951059274,-2.5686812395634773,False,False
71,Her sister is dentist.,False,MD,PRP$ NN VBZ NN . ,NN . _,DET NOUN VERB NOUN PUNCT ,NOUN PUNCT _,True,-0.05932343929405855,-0.07062103178661779,True,True
72,I have ones nice American friends.,False,RQ,PRP VBP NNS JJ JJ NNS . ,NNS JJ JJ,PRON VERB NOUN ADJ ADJ NOUN PUNCT ,NOUN ADJ ADJ,True,-2.7132099167142454,-4.9253469081062855,True,True
73,The table is dirty.,True,_,DT NN VBZ JJ . ,NN VBZ JJ,DET NOUN VERB ADJ PUNCT ,NOUN VERB ADJ,False,-2.1264287212086495,-2.5315940465308366,True,False
74,"Clean her, please.",False,RA,"VB PRP , UH . ","VB PRP ,",VERB PRON PUNCT INTJ PUNCT ,VERB PRON PUNCT,True,-3.203069752013389,-2.8469096110344414,False,False
75,"They showed me two models, and I bought the small.",False,M,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . ",JJ . _,PRON VERB PRON NUM NOUN PUNCT CCONJ PRON VERB DET ADJ PUNCT ,ADJ PUNCT _,True,-0.05297985246063005,-0.06258211919273055,True,True
76,I am more old than my sister.,False,IJ,PRP VBP RBR JJ IN PRP$ NN . ,RBR JJ IN,PRON VERB ADV ADJ ADP DET NOUN PUNCT ,ADV ADJ ADP,True,-1.9826589753160768,-1.4176639256360308,False,False
77,Barcelona is the more large city of Catalonia.,False,IJ,NNP VBZ DT RBR JJ NN IN NNP . ,RBR JJ NN,PROPN VERB DET ADV ADJ NOUN ADP PROPN PUNCT ,ADV ADJ NOUN,True,-2.673134521478861,-1.4354456855785995,False,False
78,Rosa isn't French. Is Spanish.,False,MA,NNP VBZ RB NNP . VBZ JJ . ,VBZ JJ .,PROPN VERB ADV PROPN PUNCT VERB ADJ PUNCT ,VERB ADJ PUNCT,True,-2.1903536239245125,-2.4242688669760666,True,True
79,Have gone home because wanted to go to bed.,False,MA,VBP VBN RB IN VBD TO VB IN NN . ,VBP VBN RB,VERB VERB ADV ADP VERB PART VERB ADP NOUN PUNCT ,VERB VERB ADV,True,-2.3086081964628336,-2.6743578125081955,True,True
80,Was raining.,False,MA,VBD VBG . ,VBD VBG .,VERB VERB PUNCT ,VERB VERB PUNCT,True,-2.875571802729899,-3.368406185867393,True,True
81,That's the man who he lives next door to us.,False,UA,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . ,IN PRP .,DET VERB DET NOUN PRON PRON VERB ADJ NOUN ADP PRON PUNCT ,ADP PRON PUNCT,True,-2.651606165798748,-2.7639743837117776,True,True
82,I saw she.,False,RA,PRP VBD PRP . ,VBD PRP .,PRON VERB PRON PUNCT ,VERB PRON PUNCT,True,-3.3414314423570626,-2.8866929331923346,False,False
83,They know we.,False,RA,PRP VBP PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,True,-0.059352077537830575,-0.062259166703002126,True,True
84,How many cakes is it in the cupboard?,False,AGV,WRB JJ NNS VBZ PRP IN DT NN . ,PRP IN DT,ADV ADJ NOUN VERB PRON ADP DET NOUN PUNCT ,PRON ADP DET,True,-0.9626415118952404,-0.8220674571001895,False,False
85,Who is it? Am I.,False,RA,WP VBZ PRP . VBP NN . ,VBP NN .,PRON VERB PRON PUNCT VERB NOUN PUNCT,VERB NOUN PUNCT,True,-2.5694499005530798,-2.6330739871825286,True,True
86,They enjoyed very much.,False,MA,PRP VBD RB RB . ,RB RB .,PRON VERB ADV ADV PUNCT ,ADV ADV PUNCT,True,-3.0037110783263348,-2.5678252214775235,False,False
87,She complained herself.,False,UA,PRP VBD PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,True,-0.059352077537830575,-0.062259166703002126,True,True
88,I showered me and went out.,False,UA,PRP VBD PRP CC VBD RP . ,PRP CC VBD,PRON VERB PRON CCONJ VERB PART PUNCT ,PRON CCONJ VERB,True,-4.510890294203503,-3.8051360467598,False,False
89,Bill cut himself the finger.,False,RA,NNP VBD PRP DT NN . ,PRP DT NN,PROPN VERB PRON DET NOUN PUNCT ,PRON DET NOUN,True,-1.3106053611373751,-1.1526700916405457,False,False
90,Sara and Joe had both got his shoes wet.,False,RA,NNP CC NNP VBD DT VBN PRP$ NNS JJ . ,PRP$ NNS JJ,PROPN CCONJ PROPN VERB DET VERB DET NOUN ADJ PUNCT ,DET NOUN ADJ,True,-1.8518576324477527,-4.459230454689737,True,True
91,The my cousin is in Portugal.,False,UD,DT PRP$ NN VBZ IN NNP . ,DT PRP$ NN,DET DET NOUN VERB ADP PROPN PUNCT ,DET DET NOUN,True,-1.1497010280105342,-1.2677182904704436,True,True
92,The girls we saw looked quite happy.,True,_,DT NNS PRP VBD VBD RB JJ . ,NNS PRP VBD,DET NOUN PRON VERB VERB ADV ADJ PUNCT ,NOUN PRON VERB,False,-2.217769379285055,-2.166442010517774,False,True
93,Did you like the woman we spoke to?,True,_,VBD PRP VB DT NN PRP VBD IN . ,VBD IN .,VERB PRON VERB DET NOUN PRON VERB ADP PUNCT ,VERB ADP PUNCT,False,-4.5188415384002765,-4.370072174099433,False,True
94,We are going to have the house painted.,True,_,PRP VBP VBG TO VB DT NN VBN . ,TO VB DT,PRON VERB VERB PART VERB DET NOUN VERB PUNCT ,PART VERB DET,False,-0.9907400405582606,-1.19162213032969,True,False
95,We are going to make paint the house.,False,MT,PRP VBP VBG TO VB NN DT NN . ,TO VB NN,PRON VERB VERB PART VERB NOUN DET NOUN PUNCT ,PART VERB NOUN,True,-2.6435631024642587,-2.3616820911552816,False,False
96,They refused helping their neighbours.,False,FV,PRP VBD VBG PRP$ NNS . ,VBG PRP$ NNS,PRON VERB VERB DET NOUN PUNCT ,VERB DET NOUN,True,-1.266872289346517,-1.3208145218594554,True,True
97,I'll never forget to see that accident.,False,FV,PRP MD RB VB TO VB DT NN . ,TO VB DT,PRON AUX ADV VERB PART VERB DET NOUN PUNCT ,PART VERB DET,True,-0.9907400405582606,-1.19162213032969,True,True
98,She explained me the problem.,False,MT,PRP VBD PRP DT NN . ,PRP DT NN,PRON VERB PRON DET NOUN PUNCT ,PRON DET NOUN,True,-1.3106053611373751,-1.1526700916405457,False,False
99,They suggested Jim to take the job.,False,W,PRP VBD NNP TO VB DT NN . ,NNP TO VB,PRON VERB PROPN PART VERB DET NOUN PUNCT ,PROPN PART VERB,True,-0.03926804976976389,-0.05810935471553522,True,True
100,I am asking that they go.,False,W,PRP VBP VBG IN PRP VBP . ,IN PRP VBP,PRON VERB VERB ADP PRON VERB PUNCT ,ADP PRON VERB,True,-1.7067622142073668,-1.1726790448565525,False,False
101,They ordered her that she should go.,False,W,PRP VBD PRP IN PRP MD VB . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB VERB PUNCT ,PRON ADP PRON,True,-3.568334558702674,-2.486028670386708,False,False
102,They ordered her that she went.,False,W,PRP VBD PRP IN PRP VBD . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB PUNCT ,PRON ADP PRON,True,-3.568334558702674,-2.486028670386708,False,False
103,I want that you don't go.,False,X,PRP VBP IN PRP VBP RB VB . ,IN PRP VBP,PRON VERB ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,True,-1.7067622142073668,-1.1726790448565525,False,False
104,I want that you not go.,False,X,PRP VBP IN PRP RB VBP . ,IN PRP RB,PRON VERB ADP PRON ADV VERB PUNCT ,ADP PRON ADV,True,-3.697016680267335,-3.162267915506696,False,False
105,The captain ordered the soldiers that they didn't retreat.,False,X,DT NN VBD DT NNS IN PRP VBD RB VB . ,IN PRP VBD,DET NOUN VERB DET NOUN ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,True,-2.6841231440106332,-2.5238235606400075,False,False
106,I don't know where does Mary live.,False,UV,PRP VBP RB VB WRB VBZ NNP VB . ,VBZ NNP VB,PRON VERB ADV VERB ADV VERB PROPN VERB PUNCT ,VERB PROPN VERB,True,-8.73059482948844,-4.084171455470266,False,False
107,They asked me how much did I earn.,False,UV,PRP VBD PRP WRB JJ VBD PRP VB . ,VBD PRP VB,PRON VERB PRON ADV ADJ VERB PRON VERB PUNCT ,VERB PRON VERB,True,-8.966943070495608,-2.9769929683876226,False,False
108,They took to their mother to the hospital.,False,UT,PRP VBD IN PRP$ NN IN DT NN . ,IN PRP$ NN,PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,ADP DET NOUN,True,-0.6489800324913759,-0.7600925547880116,True,True
109,For what have you come?,False,W,IN WP VBP PRP VB . ,IN WP VBP,ADP PRON VERB PRON VERB PUNCT ,ADP PRON VERB,True,-1.489198142668699,-3.4603070484771954,True,True
110,I don't know who they're working for.,True,_,PRP VBP RB VB WP PRP VBP VBG IN . ,VBG IN .,PRON VERB ADV VERB PRON PRON VERB VERB ADP PUNCT ,VERB ADP PUNCT,False,-4.3787788546517685,-4.257720281057826,False,True
111,Who does Fred sit next to?,True,_,WP VBZ NNP VB RB IN . ,RB IN .,PRON VERB PROPN VERB ADV ADP PUNCT ,ADV ADP PUNCT,False,-4.799861991964896,-5.181570312515138,True,False
112,"After to see the film, we went for a meal.",False,FV,"IN TO VB DT NN , PRP VBD IN DT NN . ",TO VB DT,ADP PART VERB DET NOUN PUNCT PRON VERB ADP DET NOUN PUNCT ,PART VERB DET,True,-0.9907400405582606,-1.19162213032969,True,True
113,I've got two news for you.,False,CN,PRP VB VBN CD NN IN PRP . ,CD NN IN,PRON VERB VERB NUM NOUN ADP PRON PUNCT ,NUM NOUN ADP,True,-0.539105707265855,-1.0715450089979672,True,True
