sentence,correct,tags
Maria cans cook.,False,NNP NNS VBP . 
Do you can swim?,False,VBP PRP MD VB . 
May you come tomorrow?,False,MD PRP VB NN . 
She could find the key.,False,PRP MD VB DT NN . 
She had to win the match.,False,PRP VBD TO VB DT NN . 
They will can do it next week.,False,PRP MD MD VB PRP JJ NN . 
She went up the stairs.,True,PRP VBD RP DT NNS . 
She went up the book.,False,PRP VBD RP DT NN . 
They were waiting.,True,PRP VBD VBG . 
They were waiting the bus.,False,PRP VBD VBG DT NN . 
Mary laughed. What did she laugh?,False,NNP VBD . WP VBD PRP VB . 
Football likes me.,False,NN VBZ PRP . 
"Do they want some money? Yes, they want.",False,"VBP PRP VB DT NN . UH , PRP VBP . "
"Do you want to go? No, I don't want.",False,"VBP PRP VB TO VB . UH , PRP VBP RB VB . "
I like to get up early; I'm used.,False,PRP VBP TO VB RP RB : PRP VBP VBN . 
"Are they coming? No, I don't think.",False,"VBP PRP VBG . UH , PRP VBP RB VB . "
Look! It rains!,False,VB . PRP VBZ . 
Do I come tomorrow?,False,VBP PRP VB NN . 
I wait for you at home.,False,PRP VBP IN PRP IN NN . 
I see her this evening.,False,PRP VBP PRP DT NN . 
How long are you working in your present job?,False,WRB RB VBP PRP VBG IN PRP$ JJ NN . 
It's a long time that I live here.,False,PRP VBZ DT JJ NN WDT PRP VBP RB . 
When has she received the letter?,False,WRB VBZ PRP VBD DT NN . 
Today I've finished work early because I've started at seven o'clock this morning.,False,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . 
"When we were young, we were playing a lot of tennis.",False,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . "
"When I was a teenager, I was having a motorbike.",False,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . "
She wasn't knowing that he had died.,False,PRP VBD RB VBG IN PRP VBD VBN . 
Come you tomorrow!,False,VB PRP NN . 
"When Mary will get here, tell her to come in.",False,"WRB NNP MD VB RB , VB PRP TO VB RP . "
I use to do a lot of exercise.,False,PRP VBP TO VB DT NN IN NN . 
The house built itself before the war.,False,DT NN VBD PRP IN DT NN . 
They were given bikes for Christmas.,True,PRP VBD VBN NNS IN NNP . 
Polly was owed a lot of money.,True,NNP VBD VBN DT NN IN NN . 
The lecture was very bored.,False,DT NN VBD RB JJ . 
I'm very interesting in Polish films.,False,PRP VBP RB JJ IN JJ NNS . 
To smoke is bad for you.,False,TO VB VBZ JJ IN PRP . 
It's difficult learn English.,False,PRP VBZ JJ VBP NNP . 
Let us to see.,False,VB PRP TO VB . 
The food is more important than the art.,False,DT NN VBZ RBR JJ IN DT NN . 
Do you like the big dogs?,False,VBP PRP VB DT JJ NNS . 
"That is the yours, and this is the mine.",False,"DT VBZ DT NNS , CC DT VBZ DT NN . "
We used to live in one  flat; now we live in one house.,False,PRP VBD TO VB IN CD _SP JJ : RB PRP VBP IN CD NN . 
Do you have car?,False,VBP PRP VB NN . 
Her sister is dentist.,False,PRP$ NN VBZ NN . 
I have ones nice American friends.The table is dirty.,False,PRP VBP NNS JJ JJ NNS . DT NN VBZ JJ . 
"Clean her, please.",False,"VB PRP , UH . "
"They showed me two models, and I bought the small.",False,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . "
I am more old than my sister.,False,PRP VBP RBR JJ IN PRP$ NN . 
Barcelona is the more large city of Catalonia.,False,NNP VBZ DT RBR JJ NN IN NNP . 
Rosa isn't French. Is Spanish.,False,NNP VBZ RB NNP . VBZ JJ . 
Have gone home because wanted to go to bed.,False,VBP VBN RB IN VBD TO VB IN NN . 
Was raining.,False,VBD VBG . 
That's the man who he lives next door to us.,False,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . 
I saw she.,False,PRP VBD PRP . 
They know we.,False,PRP VBP PRP . 
How many cakes is it in the cupboard?,False,WRB JJ NNS VBZ PRP IN DT NN . 
Who is it? Am I.,False,WP VBZ PRP . VBP NN 
They enjoyed very much.,False,PRP VBD RB RB . 
She complained herself.,False,PRP VBD PRP . 
I showered me and went out.,False,PRP VBD PRP CC VBD RP . 
Mary washed the hair.,False,NNP VBD DT NN . 
Bill cut himself the finger.,False,NNP VBD PRP DT NN . 
Sara and Joe had both got his shoes wet.,False,NNP CC NNP VBD DT VBN PRP$ NNS JJ . 
The my cousin is in Portugal.,False,DT PRP$ NN VBZ IN NNP . 
The girls we saw looked quite happy.,True,DT NNS PRP VBD VBD RB JJ . 
Did you like the woman we spoke to?,True,VBD PRP VB DT NN PRP VBD IN . 
They have gone for buy a film.,False,PRP VBP VBN IN VB DT NN . 
We are going to have the house painted.,True,PRP VBP VBG TO VB DT NN VBN . 
We are going to make paint the house.,False,PRP VBP VBG TO VB NN DT NN . 
They refused helping their neighbours.,False,PRP VBD VBG PRP$ NNS . 
I'll never forget to see that accident.,False,PRP MD RB VB TO VB DT NN . 
She explained me the problem.,False,PRP VBD PRP DT NN . 
They suggested Jim to take the job.,False,PRP VBD NNP TO VB DT NN . 
I am asking that they go.,False,PRP VBP VBG IN PRP VBP . 
They ordered her that she should go.,False,PRP VBD PRP IN PRP MD VB . 
They ordered her that she went.,False,PRP VBD PRP IN PRP VBD . 
I want that you don't go.,False,PRP VBP IN PRP VBP RB VB . 
I want that you not go.,False,PRP VBP IN PRP RB VBP . 
The captain ordered the soldiers that they didn't retreat.,False,DT NN VBD DT NNS IN PRP VBD RB VB . 
I don't know where does Mary live.,False,PRP VBP RB VB WRB VBZ NNP VB . 
They asked me how much did I earn.,False,PRP VBD PRP WRB JJ VBD PRP VB . 
They took to their mother to the hospital.,False,PRP VBD IN PRP$ NN IN DT NN . 
For what have you come?,False,IN WP VBP PRP VB . 
I don't know who they're working for.,True,PRP VBP RB VB WP PRP VBP VBG IN . 
Who does Fred sit next to?,True,WP VBZ NNP VB RB IN . 
"After to see the film, we went for a meal.",False,"IN TO VB DT NN , PRP VBD IN DT NN . "
They are into the room.,False,PRP VBP IN DT NN . 
We stopped in the crossroads.,False,PRP VBD IN DT NNS . 
She works like a waitress.,False,PRP VBZ IN DT NN . 
They seem as their mother.,False,PRP VBP IN PRP$ NN . 
This park was designed for the Catalan architect Gaudi.,False,DT NN VBD VBN IN DT JJ NN NNP . 
They stayed there during three months.,False,PRP VBD RB IN CD NNS . 
