,sentence,correct,tags,trigram,en,es,model_result
67,"When we were young, we were playing a lot of tennis.",False,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . ",VBD VBG DT,-1.8800052509970158,-1.4255830591731908,True
68,"When I was a teenager, I was having a motorbike.",False,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . ",VBD VBG DT,-1.8800052509970158,-1.4255830591731908,True
69,She wasn't knowing that he had died.,False,PRP VBD RB VBG IN PRP VBD VBN . ,VBD RB VBG,-3.64262445559547,-5.392074928031157,False
70,Come you tomorrow!,False,VB PRP NN . ,PRP NN .,-1.6634815914385148,-2.372044147451933,False
71,"When Mary will get here, tell her to come in.",False,"WRB NNP MD VB RB , VB PRP TO VB RP . ",MD VB RB,-2.61002417589392,-2.1727736541342004,True
72,I use to do a lot of exercise.,False,PRP VBP TO VB DT NN IN NN . ,VBP TO VB,-0.03854948148069643,-0.03376883989295226,True
73,The house built itself before the war.,False,DT NN VBD PRP IN DT NN . ,VBD PRP IN,-1.3597548927139766,-1.4372332788244242,False
74,They were given bikes for Christmas.,True,PRP VBD VBN NNS IN NNP . ,PRP VBD VBN,-2.49393297409838,-2.575667799823716,True
75,Polly was owed a lot of money.,True,NNP VBD VBN DT NN IN NN . ,VBD VBN DT,-3.0131480612091948,-1.89940520620176,False
76,The lecture was very bored.,False,DT NN VBD RB JJ . ,JJ . _,-0.06258211919273055,-0.05297985246063005,True
77,I'm very interesting in Polish films.,False,PRP VBP RB JJ IN JJ NNS . ,JJ IN JJ,-2.6687375197273537,-3.6087858020391423,False
78,To smoke is bad for you.,False,TO VB VBZ JJ IN PRP . ,TO VB VBZ,-3.4170635507187765,-3.1849451005724965,True
79,It's difficult learn English.,False,PRP VBZ JJ VBP NNP . ,VBP NNP .,-3.899283250680144,-2.667847215777265,True
80,Let us to see.,False,VB PRP TO VB . ,TO VB .,-2.986980752753844,-2.819523508982045,True
81,The food is more important than the art.,False,DT NN VBZ RBR JJ IN DT NN . ,DT NN .,-2.4377755956886595,-2.559100990398349,False
82,Do you like the big dogs?,False,VBP PRP VB DT JJ NNS . ,DT JJ NNS,-1.8702120771901816,-1.7317255117475918,True
83,"That is the yours, and this is the mine.",False,"DT VBZ DT NNS , CC DT VBZ DT NN . ",DT NN .,-2.4377755956886595,-2.559100990398349,False
84,We used to live in one flat; now we live in one house.,False,PRP VBD TO VB IN CD JJ : RB PRP VBP IN CD NN . ,CD NN .,-2.238525730192357,-2.1969955615803163,True
85,Do you have car?,False,VBP PRP VB NN . ,NN . _,-0.07062103178661779,-0.05932343929405855,True
86,Her sister is dentist.,False,PRP$ NN VBZ NN . ,NN . _,-0.07062103178661779,-0.05932343929405855,True
87,I have ones nice American friends.,False,PRP VBP NNS JJ JJ NNS .,NNS JJ JJ,-4.9253469081062855,-2.7132099167142454,True
88,The table is dirty.,True, DT NN VBZ JJ . ,NN VBZ JJ,-2.5315940465308366,-2.126428721208649,False
89,"Clean her, please.",False,"VB PRP , UH . ","VB PRP ,",-2.8469096110344414,-3.203069752013389,False
90,"They showed me two models, and I bought the small.",False,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . ",JJ . _,-0.06258211919273055,-0.05297985246063005,True
91,I am more old than my sister.,False,PRP VBP RBR JJ IN PRP$ NN . ,RBR JJ IN,-1.4176639256360308,-1.9826589753160768,False
92,Barcelona is the more large city of Catalonia.,False,NNP VBZ DT RBR JJ NN IN NNP . ,RBR JJ NN,-1.4354456855785995,-2.673134521478861,False
93,Rosa isn't French. Is Spanish.,False,NNP VBZ RB NNP . VBZ JJ . ,VBZ JJ .,-2.4242688669760666,-2.1903536239245125,True
94,Have gone home because wanted to go to bed.,False,VBP VBN RB IN VBD TO VB IN NN . ,VBP VBN RB,-2.6743578125081955,-2.3086081964628336,True
95,Was raining.,False,VBD VBG . ,VBD VBG .,-3.368406185867393,-2.875571802729899,True
96,That's the man who he lives next door to us.,False,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . ,IN PRP .,-2.7639743837117776,-2.651606165798748,True
97,I saw she.,False,PRP VBD PRP . ,PRP . _,-0.062259166703002126,-0.059352077537830575,True
98,They know we.,False,PRP VBP PRP . ,PRP . _,-0.062259166703002126,-0.059352077537830575,True
99,How many cakes is it in the cupboard?,False,WRB JJ NNS VBZ PRP IN DT NN . ,PRP IN DT,-0.8220674571001895,-0.9626415118952404,False
100,Who is it? Am I.,False,WP VBZ PRP . VBP NN .,VBP NN .,-2.6330739871825286,-2.56944990055308,True
101,They enjoyed very much.,False,PRP VBD RB RB . ,RB RB .,-2.5678252214775235,-3.0037110783263348,False
102,She complained herself.,False,PRP VBD PRP . ,PRP . _,-0.062259166703002126,-0.059352077537830575,True
103,I showered me and went out.,False,PRP VBD PRP CC VBD RP . ,PRP CC VBD,-3.8051360467597997,-4.510890294203503,False
104,Mary washed the hair.,False,NNP VBD DT NN . ,DT NN .,-2.4377755956886595,-2.559100990398349,False
105,Bill cut himself the finger.,False,NNP VBD PRP DT NN . ,PRP DT NN,-1.1526700916405457,-1.3106053611373751,False
106,Sara and Joe had both got his shoes wet.,False,NNP CC NNP VBD DT VBN PRP$ NNS JJ . ,PRP$ NNS JJ,-4.459230454689737,-1.8518576324477527,True
107,The my cousin is in Portugal.,False,DT PRP$ NN VBZ IN NNP . ,DT PRP$ NN,-1.2677182904704436,-1.1497010280105342,True
108,The girls we saw looked quite happy.,True,DT NNS PRP VBD VBD RB JJ . ,NNS PRP VBD,-2.166442010517774,-2.217769379285055,True
109,Did you like the woman we spoke to?,True,VBD PRP VB DT NN PRP VBD IN . ,VBD IN .,-4.370072174099433,-4.5188415384002765,True
110,They have gone for buy a film.,False,PRP VBP VBN IN VB DT NN . ,IN VB DT,-1.8424968707728744,-0.8097341840629309,True
111,We are going to have the house painted.,True,PRP VBP VBG TO VB DT NN VBN . ,TO VB DT,-1.1916221303296899,-0.9907400405582606,False
112,We are going to make paint the house.,False,PRP VBP VBG TO VB NN DT NN . ,TO VB NN,-2.3616820911552816,-2.6435631024642587,False
113,They refused helping their neighbours.,False,PRP VBD VBG PRP$ NNS . ,VBG PRP$ NNS,-1.3208145218594554,-1.266872289346517,True
114,I'll never forget to see that accident.,False,PRP MD RB VB TO VB DT NN . ,TO VB DT NN,-1.1916221303296899,-0.9907400405582606,True
115,She explained me the problem.,False,PRP VBD PRP DT NN . ,PRP DT NN,-1.1526700916405457,-1.3106053611373751,False
116,They suggested Jim to take the job.,False,PRP VBD NNP TO VB DT NN . ,NNP TO VB,-0.05810935471553522,-0.03926804976976389,True
117,I am asking that they go.,False,PRP VBP VBG IN PRP VBP . ,IN PRP VBP,-1.1726790448565525,-1.7067622142073668,False
118,They ordered her that she should go.,False,PRP VBD PRP IN PRP MD VB . ,PRP IN PRP,-2.486028670386708,-3.568334558702674,False
119,They ordered her that she went.,False,PRP VBD PRP IN PRP VBD . ,PRP IN PRP,-2.486028670386708,-3.568334558702674,False
120,I want that you don't go.,False,PRP VBP IN PRP VBP RB VB . ,IN PRP VBP,-1.1726790448565525,-1.7067622142073668,False
121,I want that you not go.,False,PRP VBP IN PRP RB VBP . ,IN PRP RB,-3.162267915506696,-3.697016680267335,False
122,The captain ordered the soldiers that they didn't retreat.,False,DT NN VBD DT NNS IN PRP VBD RB VB . ,IN PRP VBD,-2.5238235606400075,-2.684123144010633,False
123,I don't know where does Mary live.,False,PRP VBP RB VB WRB VBZ NNP VB . ,VBZ NNP VB,-4.084171455470266,-8.73059482948844,False
124,They asked me how much did I earn.,False,PRP VBD PRP WRB JJ VBD PRP VB . ,VBD PRP VB,-2.9769929683876226,-8.966943070495608,False
125,They took to their mother to the hospital.,False,PRP VBD IN PRP$ NN IN DT NN . ,IN PRP$ NN,-0.7600925547880116,-0.6489800324913759,True
126,For what have you come?,False,IN WP VBP PRP VB . ,IN WP VBP,-3.4603070484771954,-1.489198142668699,True
127,I don't know who they're working for.,True,PRP VBP RB VB WP PRP VBP VBG IN . ,VBG IN .,-4.257720281057826,-4.3787788546517685,True
128,Who does Fred sit next to?,True,WP VBZ NNP VB RB IN . ,RB IN .,-5.181570312515138,-4.799861991964896,False
129,"After to see the film, we went for a meal.",False,"IN TO VB DT NN , PRP VBD IN DT NN . ",TO VB DT,-1.1916221303296899,-0.9907400405582606,True
130,They are into the room.,False,PRP VBP IN DT NN . ,IN DT NN,-0.9341431858347664,-0.8571758939611754,True
131,We stopped in the crossroads.,False,PRP VBD IN DT NNS . ,IN DT NNS,-2.2747114085272844,-1.435428328984138,True
132,She works like a waitress.,False,PRP VBZ IN DT NN . ,IN DT NN,-0.9341431858347664,-0.8571758939611754,True
133,They seem as their mother.,False,PRP VBP IN PRP$ NN . ,IN PRP$ NN,-0.7600925547880116,-0.6489800324913759,True
134,This park was designed for the Catalan architect Gaudi.,False,DT NN VBD VBN IN DT JJ NN NNP . ,IN DT JJ,-1.5761375238208315,-2.718507495364441,False
135,They stayed there during three months.,False,PRP VBD RB IN CD NNS . ,IN CD NNS,-1.8223546280131413,-0.9600231464438882,True
