,incorrect_trigram_tags,correct_trigram_tags,count
943,NNS NNS .,JJ NNS .,4
0,'' IN DT,", '' IN",4
1051,PRP VBD DT,PRP VBD DT,3
641,NN . _,RB . _,3
217,IN DT NN,DT NN CC,3
1663,VBG DT NN,VBD DT NN,3
214,IN DT NN,"DT NN ,",3
279,IN DT VBZ,", IN DT",3
102,DT JJ NNS,DT JJ NNS,3
210,IN DT NN,. _ _,3
1423,VB IN DT,RB IN DT,3
119,DT NN CC,NN CC NN,3
323,IN NN PRP,", IN NN",3
907,NNS . IN,NN . IN,3
673,NN IN DT,NN POS NN,3
786,NN TO VB,TO VB TO,3
1621,VBD VBG IN,VBP VBG IN,3
1768,VBN IN PRP$,VBN IN PRP$,3
1767,VBN IN NNS,VBN IN NNS,3
1713,VBG PRP$ NN,VBG PRP$ NN,3
198,"IN DT ,","IN DT ,",3
605,"NN , DT","NNS , DT",3
2014,VBZ VBN IN,VBP VBN IN,3
636,NN . _,JJ . _,3
1168,RB . _,"RB , _",3
603,"NN , DT","NN , DT",3
410,IN TO VB,TO VB JJ,3
1997,VBZ RB JJ,VBP RB JJ,3
476,JJ IN DT,VBN IN DT,3
1857,"VBP PRP ,","VBD PRP ,",3
719,NN IN NNS,DT NN IN,3
235,IN DT NN,RB DT NN,3
1542,VBD DT NN,PRP VBD DT,3
484,JJ IN NNS,JJ IN NNS,3
683,NN IN IN,NN IN IN,3
851,NNP IN DT,NN IN DT,3
821,NN WDT PRP,NN WDT PRP,3
1860,VBP PRP .,VBD PRP .,3
1250,RB TO VB,JJ TO VB,3
298,IN JJ NN,IN DT JJ,3
1807,VBP CD NNS,VBD CD NNS,3
225,IN DT NN,IN IN DT,3
1148,PRP$ RB .,PRP$ RB .,3
886,NNP VBZ NN,NN VBZ NN,3
1167,RB . _,PRP RB .,3
1714,VBG PRP$ NNS,VBG PRP$ NNS,3
981,NNS WDT PRP,NNS WDT PRP,3
760,NN NN RB,NNP NN RB,3
1113,PRP$ JJ NN,IN PRP$ JJ,3
1820,VBP DT NNS,VBD DT NNS,3
653,NN CC IN,NN CC IN,3
1219,RB MD VB,RB MD VB,3
1456,VB JJ IN,VB JJ IN,3
621,"NN , RB","NNS , RB",3
547,JJ WRB PRP,JJ WRB PRP,3
1000,PRP DT NNS,IN PRP DT,3
1444,VB IN PRP$,VB IN PRP$,3
750,NN NN IN,NN POS NN,3
566,MD VB DT,PRP MD VB,3
1210,RB JJ IN,VBP RB JJ,3
1570,VBD JJ IN,VBD JJ IN,3
771,NN NNS RB,NN NN RB,3
614,"NN , IN","NNS , IN",3
701,NN IN NN,NNS IN NN,3
116,DT NN CC,IN DT NN,3
904,"NNS , RB","NNS , RB",3
1182,RB IN DT,IN DT NN,3
1972,VBZ JJ IN,PRP VBZ JJ,3
1261,RB VB DT,RB VB DT,3
117,DT NN CC,IN NN CC,3
95,DT IN DT,DT IN DT,3
1879,VBP PRP$ NN,VBP PRP$ NN,3
1230,RB NNS JJ,DT NNS JJ,3
1878,VBP PRP$ NN,VBD PRP$ NN,3
380,IN PRP$ NN,PRP IN PRP$,3
1583,VBD PRP DT,VBD PRP DT,3
1758,VBN DT NN,VBN DT NN,3
447,JJ . CC,JJ . CC,3
1436,VB IN NN,VBG IN NN,3
137,DT NN RB,PRP$ NN RB,3
1492,VB PRP$ NN,VBN PRP$ NN,2
429,IN WDT NN,IN WDT NN,2
416,IN TO VB,TO VB TO,2
1014,PRP MD VB,MD VB JJ,2
105,DT JJ NNS,JJ NNS .,2
412,IN TO VB,TO VB PRP,2
1840,VBP MD VB,", UH ,",2
1842,VBP NN .,VBP NN .,2
628,NN . IN,DT NN .,2
1373,UH PRP VBZ,IN PRP VBZ,2
1490,VB PRP$ NN,VBG PRP$ NN,2
1673,VBG IN NN,VB IN NN,2
73,CD IN NNP,NN IN NNP,2
1012,PRP MD VB,IN PRP MD,2
1009,PRP MD VB,DT MD VB,2
1672,VBG IN NN,TO VB IN,2
639,NN . _,NNP . _,2
405,IN TO VB,TO VB .,2
1340,TO VB IN,TO VB IN,2
373,IN PRP$ NN,DT NN IN,2
132,DT NN RB,"NN RB ,",2
1037,PRP TO VB,TO VB PRP$,2
370,IN PRP VBZ,IN PRP VBZ,2
369,IN PRP VBZ,. IN PRP,2
1654,VBG DT IN,TO VB DT,2
1891,VBP RB JJ,VBD RB JJ,2
1361,TO VB RB,VBG RB IN,2
1504,"VB RP ,",NN HYPH RP,2
1893,VBP RB JJ,VBP RB JJ,2
1894,VBP RB JJ,VBZ RB JJ,2
655,NN CC VBZ,NN CC VBZ,2
1651,VBG CD NNS,VBG CD NNS,2
1048,PRP VBD DT,. PRP VBD,2
1658,VBG DT NN,IN VBG DT,2
1346,TO VB IN,VBG IN NN,2
1499,VB RB IN,RB VB IN,2
1876,VBP PRP VBP,VBP PRP VBP,2
1875,VBP PRP VBP,VBP PRP VB,2
644,NN . _,VBN . _,2
384,IN PRP$ NN,PRP$ NN RB,2
1662,VBG DT NN,VB DT NN,2
388,IN PRP$ NN,VBG IN PRP$,2
1869,VBP PRP DT,VBP VBN PRP,2
130,DT NN PRP$,PRP$ JJ VBZ,2
1866,VBP PRP DT,MD VB PRP,2
637,NN . _,JJ NN .,2
1022,PRP MD VB,WDT MD VB,2
1665,VBG DT NNS,", VBG DT",2
104,DT JJ NNS,"JJ NNS ,",2
72,CD IN NNP,", CD IN",2
862,NNP NNP .,DT NNP NNP,2
1566,"VBD JJ ,","VBD JJ ,",2
1486,VB PRP VBD,VB PRP VBD,2
897,"NNS , DT","NNS , DT",2
1433,VB IN NN,TO VB IN,2
524,JJ NNS JJ,JJ NNS JJ,2
1432,VB IN DT,VBN IN DT,2
522,JJ NNS IN,TO VB JJ,2
935,"NNS JJ ,",'' NNS JJ,2
1459,VB NN IN,DT NN NN,2
516,JJ NN IN,NN NN IN,2
49,CC NN .,CC NN .,2
1712,VBG PRP$ NN,VB PRP$ NN,2
510,JJ NN IN,JJ HYPH NN,2
1424,VB IN DT,TO VB IN,2
944,NNS NNS .,NN NNS .,2
1463,VB NN RB,DT NN NN,2
1776,VBN NN IN,VBG NN IN,2
949,NNS PRP VBP,NNS PRP VBP,2
526,JJ PRP VBD,NN PRP VBD,2
1435,VB IN NN,VB IN NN,2
1830,VBP IN PRP$,VBP IN PRP$,2
530,JJ TO VB,DT NN TO,2
554,JJR NN .,DT JJR NN,2
914,NNS CC IN,NN CC IN,2
1446,VB IN PRP$,VBG IN PRP$,2
1724,VBG TO VB,", VBG TO",2
919,NNS IN IN,DT NNS IN,2
902,"NNS , NNS","NNS , NNS",2
921,NNS IN NN,DT NNS IN,2
1745,VBN . _,JJ . _,2
900,"NNS , IN","NNS , IN",2
924,NNS IN NN,NNS IN NN,2
925,NNS IN NNP,NN IN NNP,2
1751,VBN CD NNS,VBN CD NNS,2
1437,VB IN NNP,TO VB IN,2
1754,VBN DT IN,VBN DT IN,2
930,NNS IN NNS,NNS IN NNS,2
1707,VBG PRP VBP,NN PRP VBP,2
887,NNP VBZ NN,NNP VBZ NN,2
495,"JJ NN ,",JJ JJ NN,2
1414,VB DT PRP$,VB DT PRP$,2
978,NNS WDT DT,NNS WDT DT,2
460,JJ . _,RB . _,2
459,JJ . _,NN . _,2
1479,VB PRP RB,VB PRP RB,2
871,NNP PRP VBD,NN PRP VBD,2
453,JJ . NNS,JJ . NNS,2
125,DT NN DT,DT NN DT,2
16,", RB PRP",. RB PRP,2
449,JJ . DT,JJ . DT,2
1386,VB : NN,VB : NN,2
1821,VBP DT NNS,VBZ DT NNS,2
867,NNP NNP PRP,", NNP NNP",2
1384,VB . _,VB RP .,2
990,PDT DT NN,VBG PDT DT,2
994,PRP . _,DT . _,2
1393,VB DT NN,IN DT VBG,2
53,CC PRP VBD,", CC PRP",2
1478,VB PRP RB,TO VB PRP,2
50,CC NN IN,", CC NN",2
493,"JJ NN ,","DT NN ,",2
121,DT NN CC,PRP DT NN,2
1786,VBN PRP$ NN,VBG PRP$ NN,2
957,NNS TO VB,NN TO VB,2
589,MD VB RBR,MD VB RBR,2
885,NNP VBZ JJ,DT NNP VBZ,2
884,NNP VBZ DT,NN VBZ DT,2
1397,VB DT NN,VB IN DT,2
483,JJ IN NNP,DT NN IN,2
478,JJ IN IN,JJ IN IN,2
1473,VB PRP NN,VBG PRP NN,2
1693,VBG NN IN,VB NN IN,2
1476,VB PRP PRP$,VB PRP PRP$,2
1802,VBP . _,VBD . _,2
463,JJ . _,VBN . _,2
1650,VBG CD NNS,IN VBG CD,2
712,NN IN NNP,NNP IN NNP,2
810,NN VBZ DT,WDT VBZ DT,2
1118,"PRP$ NN ,","PRP$ NN ,",2
1607,VBD TO VB,VB TO VB,2
1235,RB PRP VBD,PRP RB VBD,2
2027,WDT VBD DT,", WDT VBD",2
707,NN IN NNP,DT NN IN,2
1609,VBD TO VB,VBD VBN TO,2
199,IN DT .,IN DT .,2
197,"IN DT ,",", IN DT",2
1968,VBZ JJ .,MD VB JJ,2
703,NN IN NN,RB IN NN,2
1165,RB . _,JJ . _,2
273,IN DT PRP,CC IN DT,2
808,NN VBZ DT,NN VBZ DT,2
192,IN CD NNS,CD NNS IN,2
745,NN NN IN,JJ NN IN,2
812,NN VBZ IN,WDT VBZ IN,2
191,IN CD IN,IN CD IN,2
1960,VBZ IN DT,VBZ IN DT,2
1959,VBZ IN DT,VBP IN DT,2
813,NN VBZ JJ,DT NN VBZ,2
1102,PRP VBZ VBN,PRP VBZ VBN,2
9,", IN DT","CC , IN",2
1288,RB VBP VBN,VBP RB VBN,2
287,IN IN DT,IN DT NN,2
1548,VBD DT NN,VBD TO VB,2
1953,VBZ DT NN,VBZ DT NN,2
2036,WP DT NN,", WP DT",2
1290,RB VBZ RB,RB VBZ RB,2
1552,VBD DT NNS,VB DT NNS,2
1120,PRP$ NN .,DT NN .,2
1238,RB PRP$ NN,RB PRP$ NN,2
1606,VBD RB TO,VBD RB VB,2
220,IN DT NN,DT NN PRP,2
1252,RB TO VB,RB TO VB,2
1243,RB RB JJ,PRP VBZ RB,2
727,NN IN VB,DT NN IN,2
233,IN DT NN,RB . _,2
1155,"RB , DT",", RB ,",2
724,NN IN PDT,NN IN PDT,2
798,NN VBD TO,NN VBD TO,2
1599,VBD RB DT,VBD RB VBN,2
1156,"RB , DT","RB , DT",2
94,DT CD NNS,DT CD NNS,2
211,IN DT NN,CC DT NN,2
1132,PRP$ NN IN,PRP$ NN IN,2
1551,VBD DT NN,VBP VBN DT,2
141,"DT NNP ,","DT NNP ,",2
1990,VBZ RB DT,RB VBZ DT,2
1264,RB VB PRP,RB VB PRP,2
737,NN MD VB,DT NN MD,2
1538,VBD DT IN,VB DT IN,2
1159,"RB , IN","RB , IN",2
92,DT . _,PRP . _,2
253,IN DT NNS,DT NNS .,2
1125,PRP$ NN CC,IN PRP$ NN,2
714,NN IN NNP,NNP POS NN,2
256,IN DT NNS,DT NNS IN,2
205,IN DT IN,IN DT IN,2
1506,"VB RP ,",VB HYPH RP,2
184,"IN , VBD","IN , VBD",2
186,IN . PRP,RB . PRP,2
746,NN NN IN,NN IN DT,2
1928,VBP VBN IN,VBD IN NNP,2
752,NN NN IN,WDT NN IN,2
1312,TO VB .,VBG . _,2
755,NN NN PRP,JJ NN PRP,2
1622,VBD VBG RB,VBD VBG RB,2
1316,TO VB CD,VBG CD NNS,2
773,NN PRP VBZ,NN PRP VBZ,2
833,"NNP , IN","NNP , IN",2
759,NN NN RB,JJ NN RB,2
331,IN NN RB,IN NN RB,2
667,NN IN DT,JJ IN DT,2
1194,RB IN NNP,RB IN NNP,2
334,"IN NNP ,","IN NNP ,",2
42,CC DT NNS,CC DT NNS,2
336,IN NNP IN,", IN NNP",2
1063,PRP VBP .,WP PRP VBP,2
1324,TO VB DT,TO VB DT,2
341,IN NNP PRP,IN NNP PRP,2
1207,RB JJ IN,PRP RB JJ,2
154,DT PRP VBD,CC PRP VBD,2
153,DT NNS VBZ,NN VBZ IN,2
1325,TO VB DT,VB DT JJ,2
1326,TO VB DT,VB DT NNP,2
1562,VBD IN PRP$,VBD IN PRP$,2
1907,VBP TO VB,VBG TO VB,2
1329,TO VB DT,VBG DT JJ,2
1055,PRP VBD IN,PRP VBD IN,2
840,"NNP , _","NNP , _",2
171,DT VBZ DT,DT VBZ DT,2
1245,RB RB JJ,RB RB JJ,2
778,NN RB JJ,NN RB JJ,2
822,NN WDT PRP,NNS WDT PRP,2
1623,VBD VBN CD,VBD VBN CD,2
689,NN IN NN,JJ IN NN,2
780,NN RB PRP,NN RB PRP,2
1177,RB DT NN,RB DT NN,2
686,NN IN NN,DT NN IN,2
1178,RB DT NNS,RB DT NNS,2
1225,RB NN IN,JJ NN IN,2
2044,WRB DT NN,IN DT NN,2
779,NN RB JJ,RB JJ NN,2
304,IN NN IN,", IN NN",2
1087,PRP VBZ IN,PRP VBZ IN,2
306,IN NN IN,DT NN IN,2
1940,VBP VBP TO,MD VB TO,2
679,NN IN DT,VBP IN DT,2
1934,VBP VBN PRP$,VBZ VBN PRP$,2
1082,PRP VBZ DT,VBZ DT JJS,2
1081,PRP VBZ DT,PRP VBZ DT,2
314,IN NN IN,NN IN NN,2
1553,VBD DT NNS,VBD DT NNS,1
1558,VBD IN NNS,PRP VBD IN,1
1556,VBD DT NNS,WRB DT NNS,1
1549,VBD DT NN,VBD VBG DT,1
1454,VB JJ DT,IN PRP MD,1
1557,VBD IN CC,VBD VBN IN,1
1563,VBD IN PRP$,VBP IN PRP$,1
1467,VB NNP CC,VB NNP CC,1
1466,"VB NNP ,","VB NNP ,",1
38,CC DT NN,", CC DT",1
1465,VB NN RB,VB VBG RB,1
1464,VB NN RB,RB VB NN,1
1455,VB JJ IN,JJ IN PRP$,1
1460,VB NN IN,VB DT NNS,1
1560,VBD IN NNS,VBP IN NNS,1
1462,VB NN IN,VBD NN IN,1
47,"CC NN ,",", CC NN",1
1457,VB JJ IN,VB NN JJ,1
1555,VBD DT NNS,VBP VBN DT,1
1561,VBD IN PRP$,VB IN PRP$,1
1554,VBD DT NNS,VBP DT NNS,1
1458,VB JJ RB,VBG JJ RB,1
1559,VBD IN NNS,VBD IN NNS,1
1505,"VB RP ,","VB , DT",1
1547,VBD DT NN,VBD RB RB,1
1517,VB VBG IN,VB IN PRP$,1
1528,VB WP VBZ,VB RP WP,1
1527,VB WP VBD,VBG WP VBD,1
43,CC IN $,RB IN $,1
1526,VB WP VBD,TO VB WP,1
1525,VB WDT PRP,VB IN PRP,1
1495,VB PRP$ NNS,VB VBN PRP$,1
1496,VB PRP$ NNS,VBD PRP$ NNS,1
1524,VB WDT MD,PRP MD VB,1
1523,VB VBZ NN,VB VBZ NN,1
1522,VB VBZ IN,TO VB VBZ,1
1521,VB VBN RB,MD VB VBN,1
1520,VB VBN JJ,VBN VBN JJ,1
1519,VB VBN DT,VB VBN RB,1
1518,VB VBG IN,VB VBG IN,1
1516,VB VBG DT,TO VB VBG,1
1491,VB PRP$ NN,VBG VB PRP$,1
1497,VB PRP$ NNS,VBN PRP$ NNS,1
1515,VB VB IN,VB IN PRP$,1
1514,VB VB .,MD RB VB,1
1513,VB TO VB,VBN TO VB,1
1498,VB RB DT,VBN RB DT,1
1512,VB TO VB,VBD TO VB,1
1510,VB TO VB,VB JJ TO,1
1500,VB RB IN,VB RB IN,1
1501,VB RB IN,VBZ RB IN,1
1502,VB RB NN,VB RB NN,1
1503,VB RB PRP,VBZ RB PRP,1
1509,VB TO VB,VB IN VB,1
1508,VB TO VB,TO VB TO,1
1507,"VB RP ,","VB RP ,",1
1493,VB PRP$ NNS,TO VB PRP$,1
1529,"VBD , IN","VBD , IN",1
39,CC DT NN,CC DT NN,1
1537,VBD CD NNS,VBD CD NNS,1
40,CC DT NN,DT NN IN,1
1544,VBD DT NN,RB DT NN,1
1543,VBD DT NN,PRP VBD VBN,1
1541,VBD DT NN,EX VBD DT,1
1468,VB PRP DT,TO VB PRP,1
46,CC JJ IN,CC JJ IN,1
1470,VB PRP DT,VBG PRP DT,1
1471,VB PRP MD,RB VB PRP,1
1472,VB PRP NN,VB PRP NN,1
1474,VB PRP NN,VBZ PRP NN,1
1475,VB PRP NNS,VB PRP NNS,1
41,CC DT NNS,", CC DT",1
1477,VB PRP RB,PRP MD VB,1
1539,VBD DT NN,DT NN PRP,1
1536,VBD CD NNS,RB VBD CD,1
44,CC IN PRP$,", CC IN",1
1535,VBD CC PRP,IN PRP VBD,1
45,"CC JJ ,",PRP VBP DT,1
1481,VB PRP RB,VBZ PRP RB,1
1534,VBD CC IN,VBP VBN CC,1
1482,VB PRP VB,", VB PRP",1
1533,VBD CC IN,VBD CC IN,1
1532,VBD . RB,PRP VBD .,1
1483,VB PRP VB,CC VB PRP,1
1484,VB PRP VB,VB PRP VB,1
1485,VB PRP VBD,RB PRP VBD,1
1531,VBD . NNP,VBD VBN .,1
1530,VBD . CC,VBD . CC,1
1487,VB PRP$ NN,VB IN DT,1
1488,VB PRP$ NN,VB IN PRP$,1
1453,VB JJ CC,JJ CC NNS,1
149,DT NNS JJR,"RB JJR ,",1
1452,VB JJ .,VB JJ .,1
1281,RB VBN IN,"VBN IN ,",1
1293,"RBR JJ ,","JJR , CC",1
1292,RB VBZ VBN,VBZ RB VBN,1
1291,RB VBZ RB,VBZ RB RB,1
1289,RB VBP VBZ,"VBP VBZ ,",1
1287,RB VBP VBN,MD RB VB,1
1286,RB VBP VBG,VBP RB VBG,1
1285,RB VBP NNS,RB HYPH VBN,1
1284,RB VBP CC,RB VBP CC,1
1283,RB VBN IN,VBP RB VBN,1
1282,RB VBN IN,VBN IN NNP,1
1280,RB VBN CC,RB VBN CC,1
1295,RBR PRP$ NN,PRP$ NN NN,1
1279,RB VBN .,RB VBN .,1
1278,RB VBG RB,VBG RB IN,1
1277,RB VBG RB,RB VBG RB,1
1276,RB VBG IN,VBP RB VBG,1
1275,RB VBG IN,RB VBG IN,1
1274,RB VBG IN,PRP VBP RB,1
1273,RB VBG DT,PRP VBP RB,1
1272,RB VBG DT,IN RB VBG,1
1271,"RB VBG ,","NN RB ,",1
1270,RB VBD VBN,VBD RB VBN,1
1294,"RBR JJ ,","JJR , IN",1
1296,"RP , .","RP , .",1
1268,RB VBD RBS,VBD RBS CC,1
1309,TO VB .,RB JJ .,1
1321,TO VB DT,MD VB DT,1
1320,TO VB DT,JJ TO VB,1
1319,TO VB DT,IN DT NN,1
1318,TO VB DT,DT NN IN,1
1317,TO VB DT,DT JJ NN,1
1315,TO VB CC,VBD CC PRP,1
1314,TO VB :,VB : _,1
1313,TO VB .,VBP . PRP,1
1311,TO VB .,VBG . DT,1
1310,TO VB .,TO VB .,1
1308,TO VB .,JJ . _,1
1297,RP CC IN,CC IN IN,1
1307,TO VB .,IN TO VB,1
1306,"TO VB ,","NN , VBG",1
1305,"TO VB ,","NN , NN",1
1304,"TO VB ,","NN , CC",1
1303,TO RP PRP,VB RP PRP,1
1302,RP TO VB,TO VB PRP,1
1301,RP TO VB,TO VB IN,1
1300,RP PRP NN,PRP RB PRP,1
1299,RP NN IN,PRP$ NN IN,1
1298,RP IN PRP$,PRP$ NNS .,1
1269,RB VBD TO,VBP RB VBN,1
57,CC PRP VBD,PRP VBD NNP,1
1323,TO VB DT,RP TO VB,1
1218,RB MD VB,MD VB VBN,1
1231,RB PRP VBD,", RB PRP",1
1229,RB NNS IN,JJ NNS IN,1
1228,RB NNS IN,DT NNS IN,1
1227,RB NNP RB,DT NNP RB,1
1226,RB NN _,JJ NN _,1
1224,RB NN IN,DT NN IN,1
1223,RB NN CC,", RB NN",1
1222,RB NN .,RB . _,1
1221,RB NN .,NN . _,1
1220,RB NN .,JJ NN .,1
1217,RB MD VB,MD VB IN,1
1233,RB PRP VBD,CC PRP VBD,1
59,CC PRP VBZ,CC PRP VBZ,1
1215,RB JJ RB,RB RB JJ,1
1214,RB JJ PRP$,PRP$ JJ NNS,1
1213,RB JJ PRP,RP RB JJ,1
1212,RB JJ PRP,JJ PRP VBP,1
1211,RB JJ IN,VBZ RB JJ,1
1209,RB JJ IN,VB RB JJ,1
1208,RB JJ IN,RB JJ IN,1
1206,RB JJ CC,RB JJ CC,1
1205,RB JJ .,VBG RB JJ,1
1232,RB PRP VBD,. RB PRP,1
1234,RB PRP VBD,DT NN PRP,1
1266,RB VBD NN,VBD RB VBN,1
1253,RB TO VB,"TO VB ,",1
1265,RB VBD NN,RB VBD NN,1
1263,RB VB PRP,MD PRP RB,1
1262,RB VB DT,VB DT NN,1
1260,RB VB .,MD RB VB,1
1259,RB TO VB,VBP RB VB,1
1258,RB TO VB,VB TO VB,1
1257,RB TO VB,TO VB PRP,1
1256,RB TO VB,TO VB NN,1
1255,RB TO VB,TO VB IN,1
1254,RB TO VB,TO VB DT,1
1251,RB TO VB,PRP VBP RB,1
1236,RB PRP VBZ,RB PRP VBZ,1
1249,RB TO VB,IN EX VBZ,1
1248,RB TO VB,DT RB TO,1
1247,RB RB PRP,CC RB PRP,1
1246,RB RB NNP,NNP RB RB,1
1244,RB RB JJ,RB JJ .,1
1242,RB RB DT,RB RB DT,1
1241,RB RB DT,DT NN RB,1
58,CC PRP VBD,PRP VBD RB,1
1239,RB PRP$ NNS,CC PRP$ NNS,1
1237,RB PRP$ NN,IN PRP$ NN,1
1322,TO VB DT,PRP MD VB,1
1327,TO VB DT,VB DT VBG,1
1451,VB JJ .,", VB JJ",1
1402,VB DT NN,VB VB DT,1
1413,VB DT NNS,VBZ DT NNS,1
1412,VB DT NNS,VBN DT NNS,1
1411,VB DT NNS,VBG DT NNS,1
1409,VB DT NNS,PRP VB DT,1
1408,VB DT NNS,DT NNS IN,1
1407,VB DT NN,VBN DT NN,1
51,CC NN IN,DT NN IN,1
1405,VB DT NN,VBD VB DT,1
1404,VB DT NN,VBD DT NN,1
