,correct_trigram_tags,error_type,count
1636,VBD RB DT,AGV,3
1582,VBD IN DT,TV,3
1639,VBD RB JJ,TV,3
253,DT NNS IN,W,3
1069,PRP RB .,MA,3
1711,VBG IN PRP$,FV,3
915,NNP NN RB,RP,3
530,JJ IN NNS,S,3
543,"JJ NN ,",S,3
935,"NNS , IN",AGN,3
1763,VBG RB IN,FV,3
860,NN VBD JJ,RN,3
953,NNS CC DT,AGN,3
405,IN PRP DT,MT,3
375,IN NN IN,ID,3
1617,VBD PRP .,TV,3
1616,"VBD PRP ,",TV,3
1791,VBN . _,RV,3
1356,TO VB .,FV,3
655,"NN , DT",S,3
1377,TO VB JJ,UT,3
1830,VBN PRP$ NN,S,3
354,IN IN DT,RT,3
1831,VBN PRP$ NN,TV,3
973,NNS IN NNP,RN,3
422,IN PRP$ JJ,MT,3
425,IN PRP$ NN,R,3
878,NN VBZ NN,RP,3
1476,VB IN PRP$,RV,3
342,IN DT NNS,R,3
1381,TO VB PRP,FV,3
970,NNS IN NN,S,3
1843,VBN TO VB,TV,3
331,IN DT NN,S,3
330,IN DT NN,RY,3
1383,TO VB PRP,UT,3
1777,VBG TO VB,S,3
585,JJ TO VB,DJ,3
319,IN DT JJ,ID,3
309,IN CD NNS,RT,3
1600,VBD JJ IN,RV,3
635,MD VB RB,MV,3
1682,VBG CD NNS,FV,3
1864,VBP DT NN,S,3
1921,VBP RB JJ,AGV,3
106,CC IN DT,MC,3
182,DT NN .,R,3
1520,VB PRP$ NNS,S,3
1148,PRP VBZ VBN,RA,3
1956,VBP VBN PRP,TV,3
787,NN MD VB,S,3
719,NN CC NN,UD,3
2055,WP PRP VBP,MA,3
1178,PRP$ NN RB,R,3
31,", PRP VBZ",MP,3
1942,VBP VBG IN,TV,3
199,DT NN IN,MQ,3
806,NN NN RB,AGN,3
1537,VB TO VB,RV,3
1936,VBP TO VB,S,3
1534,VB TO VB,FV,3
1192,PRP$ RB .,DA,3
766,NN IN NNP,S,3
178,"DT NN ,",UT,3
1952,VBP VBN IN,AGV,3
2036,WDT VBD IN,RA,3
1951,VBP VBN DT,TV,3
1222,RB . _,S,3
1975,VBZ DT NNS,AGV,3
1082,PRP VBD DT,MA,3
1924,VBP RB JJ,MV,3
5,", CC NN",MP,3
3,", CC DT",MP,3
757,NN IN NN,SX,2
481,JJ . CC,S,2
625,MD VB JJ,RV,2
1758,VBG PRP$ NNS,RV,2
1221,RB . _,RY,2
457,IN WDT NN,RT,2
2024,WDT MD VB,MA,2
857,NN VBD IN,RN,2
939,"NNS , NNS",S,2
1402,TO VB TO,UT,2
77,. PRP VBD,MP,2
951,NNS . _,S,2
626,MD VB JJ,UA,2
1745,VBG PRP NN,FV,2
2025,WDT MD VB,RA,2
1753,VBG PRP$ NN,IV,2
75,. IN PRP,MP,2
2026,WDT MD VB,S,2
947,NNS . _,AGN,2
469,"JJ , DT",RJ,2
1742,VBG PDT DT,W,2
2030,WDT NN IN,S,2
1535,VB TO VB,MV,2
861,NN VBD JJ,S,2
1224,RB . _,U,2
1401,TO VB TO,RV,2
759,NN IN NN,UT,2
1232,RB DT NN,MY,2
1538,VB TO VB,S,2
1378,TO VB NN,FV,2
642,MD VB TO,RV,2
2004,VBZ RB JJ,AGV,2
1143,PRP VBZ RB,M,2
793,NN NN .,W,2
114,CC NN .,RC,2
419,IN PRP VBZ,S,2
975,NNS IN NNS,FN,2
1379,TO VB NN,W,2
120,CC PRP VBD,RC,2
2019,VBZ VBN PRP$,AGV,2
1376,TO VB JJ,MV,2
121,CC PRP VBD,SX,2
797,NN NN IN,RN,2
1793,VBN . _,TV,2
1252,RB IN NN,DY,2
408,IN PRP MD,MC,2
1466,VB IN NN,FV,2
1372,TO VB IN,R,2
105,CC DT NNS,RC,2
1147,PRP VBZ VBN,MA,2
431,IN PRP$ NNS,MT,2
749,NN IN IN,S,2
1392,TO VB RB,FV,2
1231,RB DT NN,DY,2
1390,TO VB PRP$,UA,2
85,. RB PRP,RP,2
762,NN IN NNP,FN,2
754,NN IN NN,RP,2
1157,PRP$ NN .,DD,2
445,IN VBG NN,MT,2
91,. _ _,UA,2
1235,RB DT NN,RT,2
442,IN VBG CD,MT,2
97,"CC , IN",MC,2
1773,VBG TO VB,FV,2
1153,PRP$ JJ VBZ,W,2
1775,VBG TO VB,MV,2
1237,RB DT NN,S,2
1519,VB PRP$ NNS,RV,2
936,"NNS , IN",S,2
221,DT NN PRP,UT,2
63,", WP DT",MP,2
34,", RB ,",MP,2
896,"NNP , IN",RP,2
873,NN VBZ IN,R,2
1680,VBG . _,FV,2
15,", IN DT",UN,2
18,", IN NNP",MP,2
1433,VB DT NN,R,2
555,JJ NN IN,SX,2
1522,VB RB IN,RV,2
901,"NNP , _",S,2
770,NN IN NNS,DN,2
1687,VBG DT JJ,FV,2
25,", NNP NNP",MP,2
1186,PRP$ NNS .,UT,2
903,NNP . _,RP,2
545,JJ NN .,MJ,2
33,", PRP$ NN",MP,2
541,"JJ NN ,",RJ,2
781,NN IN WRB,RN,2
566,"JJ NNS ,",UD,2
876,NN VBZ IN,S,2
887,NN WDT PRP,S,2
593,JJ WRB PRP,S,2
6,", CC PRP",MP,2
1661,VBD VBG RB,AGV,2
879,NN VBZ PRP$,S,2
1663,VBD VBN CD,AGV,2
886,NN WDT PRP,RN,2
1666,VBD VBN IN,TV,2
8,", CD IN",MP,2
568,JJ NNS .,IQ,2
576,JJ NNS JJ,RP,2
1669,VBD VBN RB,TV,2
1201,"RB , NN",ID,2
1671,VBD VBN TO,TV,2
10,", DT VBZ",MP,2
1442,VB DT NNS,FV,2
570,JJ NNS .,UD,2
1693,VBG DT NN,S,2
1646,VBD RB VBN,TV,2
61,", WDT VBD",MP,2
1429,VB DT JJ,FV,2
921,NNP POS NN,W,2
1719,VBG IN WP,FV,2
1720,"VBG JJ ,",FV,2
2042,WDT VBZ IN,S,2
2040,WDT VBZ DT,S,2
54,", VBG TO",MP,2
1635,VBD RB .,TV,2
618,MD VB DT,RV,2
927,NNP VBZ NN,S,2
2039,WDT VBZ DT,RA,2
734,NN HYPH RP,MP,2
1729,VBG NN IN,RV,2
57,", VBN IN",MP,2
1219,RB . _,R,2
492,JJ . RB,S,2
931,"NNS , DT",AGN,2
60,", WDT MD",MP,2
1458,VB IN DT,DV,2
510,JJ HYPH NN,RJ,2
50,", VBG IN",MP,2
524,JJ IN IN,DJ,2
907,NNP IN DT,RP,2
1209,"RB , _",S,2
1428,VB DT IN,FV,2
1701,VBG IN DT,UV,2
1702,VBG IN DT,W,2
528,JJ IN NN,S,2
910,NNP IN NNP,RP,2
1643,VBD RB VB,X,2
611,MD RB VB,MV,2
869,NN VBZ DT,RP,2
1179,PRP$ NN RB,UT,2
764,NN IN NNP,RN,2
45,", UH ,",MP,2
1215,RB . PRP,SX,2
47,", VB PRP",MP,2
763,NN IN NNP,MP,2
1218,RB . _,FJ,2
1256,RB IN NNP,RY,2
1123,PRP VBP VBG,UP,2
1597,VBD JJ .,TV,2
833,NN PRP VBP,AGN,2
1,'' NNS JJ,MP,2
1037,PRP . _,RA,2
1484,VB JJ IN,RV,2
1590,VBD IN PRP$,RV,2
683,NN . IN,RN,2
189,DT NN CC,R,2
192,DT NN CC,UD,2
685,NN . IN,S,2
830,NN PRP VBD,RP,2
1878,VBP IN DT,SX,2
1879,VBP IN DT,TV,2
1316,RB VBD RB,DY,2
193,DT NN CC,UT,2
1568,VBD DT JJ,TV,2
299,"IN , VBD",RT,2
1332,RB VBZ DT,W,2
1055,PRP MD VB,M,2
305,IN CD IN,RT,2
327,IN DT NN,RC,2
172,"DT NN ,",AGQ,2
1950,VBP VBN DT,MV,2
1275,RB JJ NN,W,2
322,IN DT JJ,R,2
1018,NNS VBP IN,S,2
841,"NN RB ,",UD,2
723,NN CC VBZ,RP,2
318,IN DT IN,RT,2
840,NN PRP VBZ,S,2
314,IN DT .,RT,2
313,"IN DT ,",RT,2
1024,NNS WDT PRP,FN,2
308,IN CD NNS,MT,2
1100,PRP VBD VBN,TV,2
1051,PRP JJ TO,MA,2
1889,VBP IN PRP$,S,2
171,DT MD VB,RA,2
245,DT NNS .,UT,2
243,DT NNP VBZ,MD,2
1907,VBP PRP VB,RV,2
1908,VBP PRP VBP,S,2
240,DT NNP NNP,MD,2
1301,RB RB VBP,W,2
1910,VBP PRP VBZ,SX,2
1073,PRP RB VBD,W,2
1912,VBP PRP$ NN,RV,2
1579,VBD DT NNS,TV,2
1299,RB RB JJ,X,2
1084,PRP VBD DT,RA,2
232,DT NN VBZ,MD,2
228,DT NN VBD,MD,2
226,DT NN TO,MQ,2
705,NN CC DT,AGN,2
1071,PRP RB JJ,MA,2
823,NN POS NN,MP,2
201,DT NN IN,RD,2
709,NN CC DT,RN,2
265,DT NNS VBZ,RN,2
203,DT NN IN,SX,2
825,NN POS NN,W,2
1309,RB VB IN,W,2
1896,VBP NN .,RV,2
1090,PRP VBD IN,RA,2
1306,RB VB DT,RY,2
697,NN . _,SX,2
712,NN CC DT,SX,2
254,DT NNS JJ,RD,2
1929,VBP RB VBN,TV,2
252,DT NNS IN,UT,2
1304,RB TO VB,S,2
250,DT NNS IN,MQ,2
1489,VB NN IN,FV,2
328,IN DT NN,RP,2
1023,NNS WDT DT,RN,2
170,DT JJR NN,MD,2
1107,PRP VBP DT,R,2
994,NNS POS NN,MP,2
1812,VBN IN NN,S,2
146,CD NNS IN,UT,2
1813,VBN IN NN,TV,2
376,IN NN IN,R,2
373,IN NN CC,SX,2
1816,VBN IN NNP,RV,2
650,"NN , CC",R,2
1819,VBN IN NNS,S,2
152,DT . _,RA,2
1605,VBD NN IN,RV,2
366,IN JJ NN,MT,2
1358,TO VB .,UT,2
1821,VBN IN PRP$,RV,2
154,DT CD NNS,AGD,2
1116,PRP VBP RB,U,2
382,IN NN RB,RT,2
1264,"RB JJ ,",RY,2
394,IN NNP PRP,RT,2
1797,VBN CD NNS,TV,2
1371,TO VB IN,MV,2
1799,VBN DT IN,RV,2
1370,TO VB IN,M,2
801,NN NN IN,SX,2
1369,TO VB IN,ID,2
392,IN NNP NNP,MT,2
1364,TO VB DT,R,2
390,IN NNP IN,MT,2
1973,VBZ DT NN,RV,2
1971,VBZ DT JJS,UA,2
1619,VBD PRP CC,TV,2
386,"IN NNP ,",RT,2
1365,TO VB DT,RV,2
1272,RB JJ IN,DY,2
1527,VB RP .,RV,2
1840,VBN TO VB,IV,2
1953,VBP VBN JJ,TV,2
658,"NN , IN",RP,2
1503,VB PRP PRP$,SX,2
162,DT JJ NN,MQ,2
341,IN DT NNS,M,2
1954,VBP VBN NN,TV,2
1958,VBP VBN PRP$,TV,2
1106,PRP VBP DT,MA,2
338,IN DT NNP,MT,2
337,IN DT NN,W,2
335,IN DT NN,UV,2
168,DT JJ NNS,RQ,2
1606,VBD NN IN,TV,2
349,IN DT VBG,SX,2
163,DT JJ NN,R,2
1478,VB IN PRP$,UV,1
1517,VB PRP$ NN,TV,1
1516,VB PRP$ NN,SX,1
1495,VB NNS IN,FV,1
1511,VB PRP$ NN,DV,1
1452,VB HYPH NN,UT,1
1475,VB IN PRP$,FV,1
1460,VB IN DT,MV,1
1523,VB RB JJ,MV,1
1457,VB IN DT,AGV,1
1477,VB IN PRP$,TV,1
1451,VB HYPH NN,RP,1
1461,VB IN DT,R,1
1502,VB PRP NNS,RV,1
1509,VB PRP$ $,TV,1
1513,VB PRP$ NN,R,1
1524,VB RB NN,DV,1
1494,VB NNP CC,TV,1
1491,VB NN IN,TV,1
1492,VB NN JJ,AS,1
1493,"VB NNP ,",RV,1
1510,VB PRP$ JJ,MV,1
1474,VB IN PRP$,DV,1
1479,VB IN VB,RV,1
1473,VB IN PRP,SX,1
1455,VB HYPH RP,RP,1
1454,VB HYPH RP,MP,1
1486,VB JJ TO,MV,1
1450,VB DT ``,RV,1
1468,VB IN NN,SA,1
1485,VB JJ IN,S,1
1464,VB IN DT,TV,1
1469,VB IN NNP,FV,1
1472,VB IN PRP,MV,1
1470,VB IN NNP,S,1
1471,VB IN PDT,RV,1
1456,"VB IN ,",RV,1
1483,VB JJ .,RV,1
1505,VB PRP RB,S,1
1501,VB PRP NN,S,1
1482,VB JJ .,MV,1
1504,VB PRP RB,RV,1
1481,VB IN WRB,FV,1
1487,VB JJR IN,RV,1
1488,VB NN IN,AS,1
1506,VB PRP VB,RV,1
1480,VB IN WP,RV,1
1507,VB PRP VBD,RV,1
1521,VB RB CC,FV,1
1497,VB PRP CC,FV,1
1467,VB IN NN,RV,1
1508,VB PRP VBD,S,1
1465,VB IN IN,RV,1
1496,"VB PRP ,",FV,1
1518,VB PRP$ NNS,RN,1
1453,VB HYPH RP,DN,1
1500,VB PRP DT,S,1
1498,VB PRP DT,DV,1
0,'' IN DT,UN,1
1449,VB DT VBG,FV,1
1280,RB JJR IN,RP,1
1289,RB PRP VBP,DY,1
1288,RB PRP VBD,S,1
1287,RB PRP VBD,RY,1
1286,RB PRP VBD,DY,1
1285,RB PRP MD,R,1
1284,RB PRP MD,MY,1
1283,RB MD VB,S,1
1282,RB MD VB,RY,1
1281,RB MD VB,DY,1
1279,"RB JJR ,",RP,1
1262,RB IN WP,S,1
1278,RB JJ TO,SX,1
1277,RB JJ RB,DY,1
1276,RB JJ NNS,W,1
1274,RB JJ IN,W,1
1273,RB JJ IN,S,1
1271,RB JJ CC,RY,1
1270,RB JJ .,UY,1
1269,RB JJ .,SX,1
1267,RB JJ .,L,1
1290,RB PRP VBP,ID,1
1291,RB PRP VBP,UT,1
1292,RB PRP VBZ,RP,1
1293,RB PRP$ NN,R,1
1318,RB VBD RB,S,1
1317,RB VBD RB,RY,1
1315,RB VBD NN,RY,1
1314,RB VBD CD,W,1
1313,RB VB PRP,RY,1
1312,RB VB PRP,MY,1
1311,RB VB PRP,DY,1
1310,RB VB NN,W,1
1308,RB VB IN,RP,1
1307,RB VB DT,S,1
1305,RB VB DT,RP,1
1303,RB TO VB,RY,1
1302,RB TO VB,R,1
1300,RB RB RB,RY,1
1298,RB RB JJ,RY,1
1297,RB RB IN,W,1
1296,RB RB DT,DY,1
1295,RB PRP$ NN,S,1
1294,RB PRP$ NN,RY,1
1265,"RB JJ ,",X,1
1261,RB IN VBG,RP,1
1320,"RB VBG ,",L,1
1212,RB . NNP,DY,1
1228,RB CC IN,CL,1
1227,"RB CC ,",RY,1
1226,"RB CC ,",DY,1
1225,RB : .,DY,1
1223,RB . _,SX,1
1220,RB . _,RP,1
1216,RB . RB,RY,1
1214,RB . PRP,RP,1
1213,RB . PRP,DY,1
1211,RB . DT,DY,1
1260,RB IN VBG,MY,1
1210,RB -LRB- NNP,MY,1
1208,"RB , _",RY,1
1207,"RB , _",DY,1
1206,"RB , VBZ",RP,1
1205,"RB , UH",UV,1
1204,"RB , RB",S,1
1203,"RB , RB",FY,1
1202,"RB , PRP",RP,1
1200,"RB , IN",RY,1
1229,RB CC IN,R,1
1230,RB CC WRB,DY,1
1233,RB DT NN,RC,1
1234,RB DT NN,RP,1
1259,RB IN PRP$,RP,1
1258,RB IN PRP,RP,1
1257,RB IN PRP,R,1
1255,RB IN NN,UT,1
1254,RB IN NN,S,1
1253,RB IN NN,R,1
1251,RB IN IN,SX,1
1250,RB IN IN,RY,1
1249,RB IN EX,MY,1
1248,RB IN DT,UT,1
1245,RB IN DT,RP,1
1244,RB IN DT,ID,1
1243,RB IN CD,RP,1
1242,RB IN $,R,1
1241,RB HYPH VBN,MP,1
1240,RB DT NNS,S,1
1239,RB DT NNS,RP,1
1238,RB DT NNS,R,1
1236,RB DT NN,RY,1
1319,RB VBD TO,S,1
1321,RB VBG IN,S,1
1448,VB DT VB,RV,1
1406,TO VB VBN,MV,1
1415,"VB , RB",S,1
1414,"VB , DT",RV,1
1413,"VB , .",UV,1
1412,UH IN DT,SX,1
1411,"UH . ,",RP,1
1410,"UH , VB",SX,1
1409,TO VB WP,FV,1
1408,TO VB VBZ,FV,1
1407,TO VB VBN,UT,1
1404,TO VB VBG,UC,1
1388,TO VB PRP$,R,1
1403,TO VB VBG,FV,1
1400,TO VB TO,R,1
1399,TO VB TO,MV,1
1398,TO VB TO,FV,1
1397,TO VB RP,UT,1
1396,TO VB RP,FV,1
1395,TO VB RB,UT,1
1394,TO VB RB,RV,1
1393,TO VB RB,MV,1
1416,VB . IN,S,1
1417,VB . NNS,RV,1
1418,VB . UH,S,1
1419,VB . _,FV,1
1447,VB DT PRP$,S,1
1446,VB DT PRP$,RV,1
1445,VB DT NNS,SX,1
1444,VB DT NNS,S,1
1441,VB DT NNS,AS,1
1440,VB DT NNP,TV,1
1439,VB DT NNP,FV,1
1438,VB DT NN,UV,1
1436,VB DT NN,SX,1
1432,VB DT NN,IV,1
1430,VB DT NN,DV,1
1427,VB DT CD,RV,1
1426,VB CD NNS,FV,1
1425,VB : _,FV,1
1424,VB : NN,RV,1
1423,VB : NN,DV,1
1422,VB . _,UA,1
1421,VB . _,S,1
1420,VB . _,RV,1
1389,TO VB PRP$,RV,1
1387,TO VB PRP$,MV,1
1322,RB VBG RB,RY,1
1334,RB VBZ RB,RP,1
1343,RP DT NN,W,1
1342,RP DT NN,RT,1
1341,RP . _,RJ,1
1340,"RP , .",RT,1
1339,RBR JJ CC,RJ,1
1338,RBR . _,RY,1
1337,RB WP NNS,W,1
1336,RB VBZ RB,S,1
1335,RB VBZ RB,RY,1
1333,RB VBZ PRP,UA,1
1385,TO VB PRP,W,1
1331,RB VBP TO,W,1
1330,RB VBP IN,UV,1
1329,RB VBP CC,S,1
1328,RB VBN JJ,W,1
1327,RB VBN CC,X,1
1326,RB VBN .,RY,1
1325,RB VBN .,R,1
1324,RB VBN .,DY,1
1323,"RB VBN ,",DY,1
1344,RP IN DT,MY,1
1345,RP IN DT,RY,1
1346,RP IN PRP,MY,1
1347,RP JJ NN,MT,1
1384,TO VB PRP,UY,1
1382,TO VB PRP,MV,1
1380,TO VB PDT,UT,1
1375,TO VB IN,UY,1
1373,TO VB IN,RP,1
1525,VB RB RB,FV,1
1366,TO VB DT,UT,1
1362,TO VB CD,UT,1
1361,TO VB CC,UT,1
1360,TO VB CC,R,1
1359,TO VB CC,MV,1
1357,TO VB .,RV,1
1355,"TO VB ,",UY,1
1354,"TO VB ,",UT,1
1353,"TO VB ,",MV,1
1352,"TO VB ,",ID,1
1350,TO VB '',FV,1
1349,RP TO VB,MY,1
1348,RP RB JJ,MY,1
1367,TO VB DT,UY,1
1650,VBD RB WP,UV,1
1526,"VB RP ,",SX,1
1938,VBP TO VB,UV,1
1900,VBP NNS VB,MV,1
1899,VBP NN WDT,UV,1
1898,VBP NN VBZ,AGV,1
1897,VBP NN RB,TV,1
1895,VBP MD VB,RV,1
1894,VBP JJ NNS,W,1
1893,VBP JJ CC,TV,1
1892,VBP JJ .,TV,1
1891,VBP IN RBS,TV,1
1890,VBP IN PRP$,TV,1
1888,VBP IN PRP$,AGV,1
1887,VBP IN PRP,RV,1
1886,VBP IN PRP,FV,1
1885,VBP IN NNS,S,1
1884,VBP IN NNS,IV,1
1883,VBP IN JJS,UV,1
1882,VBP IN JJ,TV,1
1881,VBP IN IN,TV,1
1880,VBP IN IN,SX,1
1877,VBP IN DT,S,1
1876,VBP IN DT,RV,1
1875,VBP IN DT,R,1
1874,VBP IN DT,AS,1
1901,"VBP PRP ,",S,1
1902,VBP PRP .,S,1
1903,VBP PRP CC,DV,1
1920,VBP RB IN,TV,1
1933,VBP TO DT,AGV,1
1932,VBP RP DT,RV,1
1931,"VBP RP ,",RV,1
1930,VBP RB VBN,W,1
1928,VBP RB VBN,MV,1
1927,VBP RB VBG,W,1
1926,VBP RB VBG,MV,1
1925,VBP RB VB,X,1
1923,VBP RB JJ,MP,1
1922,VBP RB JJ,M,1
1919,VBP RB DT,TV,1
1904,VBP PRP CC,TV,1
1918,VBP RB DT,AGV,1
1917,VBP RB :,R,1
1916,VBP RB .,TV,1
1915,"VBP RB ,",R,1
1914,VBP PRP$ NNS,TV,1
1913,VBP PRP$ NN,S,1
1911,VBP PRP$ NN,AGV,1
1909,VBP PRP VBP,SX,1
1906,VBP PRP PRP,RV,1
1905,VBP PRP NN,AS,1
1873,VBP IN DT,AGV,1
1872,VBP IN DT,AGN,1
1871,VBP DT VBN,W,1
1824,"VBN NNP ,",RJ,1
1836,VBN RB JJ,RV,1
1835,VBN RB IN,S,1
1834,VBN RB IN,RV,1
1833,VBN RB DT,TV,1
1832,VBN PRP$ NNS,RV,1
1829,VBN PRP VBP,S,1
1828,VBN PRP TO,R,1
1827,VBN PRP DT,RV,1
1826,VBN NNS IN,IJ,1
1825,VBN NNP IN,TV,1
1823,VBN MD VB,S,1
1838,VBN RB PRP,RV,1
1822,VBN IN PRP$,S,1
1820,VBN IN PDT,TV,1
1818,VBN IN NNS,RV,1
1817,VBN IN NNP,UY,1
1815,VBN IN NNP,IV,1
1814,VBN IN NNP,DV,1
1811,VBN IN NN,DJ,1
1809,VBN IN DT,MV,1
1808,VBN IN DT,DJ,1
1807,VBN IN CD,UV,1
1837,VBN RB PRP,IV,1
1839,VBN RP IN,RV,1
1870,VBP DT VBD,RV,1
1856,VBP CD CC,RV,1
1869,VBP DT NNS,UV,1
1868,VBP DT NNS,TV,1
1867,VBP DT NNS,FV,1
1865,VBP DT NN,SX,1
1863,VBP DT NN,RV,1
1862,VBP DT NN,R,1
1861,VBP DT NN,DV,1
1859,VBP DT JJ,TV,1
1858,VBP CD NNS,SX,1
1857,VBP CD NNS,RV,1
1855,VBP . _,S,1
1844,VBN TO VB,U,1
1854,VBP . TO,AGV,1
1853,VBP . PRP,X,1
1852,VBP . PRP,FV,1
1851,VBN `` IN,R,1
1850,VBN VBZ RB,TV,1
1849,VBN VBZ IN,IV,1
1848,VBN VBN JJ,RV,1
1847,VBN VBG IN,RV,1
1846,VBN VBG DT,TV,1
1845,VBN VBG CC,RV,1
1934,VBP TO VB,AGV,1
1939,VBP VBD JJ,TV,1
1805,"VBN IN ,",TV,1
1940,VBP VBG .,S,1
2034,WDT RB MD,RA,1
2033,WDT PRP VBZ,RA,1
2032,WDT PRP VBD,UN,1
2031,WDT PRP VBD,S,1
2028,WDT NN IN,RP,1
2027,WDT NN DT,UT,1
2023,WDT MD VB,M,1
2022,WDT DT VBP,S,1
2021,WDT CD NNS,S,1
2020,VBZ VBN VBN,UA,1
2018,VBZ VBN IN,TV,1
2017,VBZ VBN DT,UA,1
